transaction_id,order_id,customer_id,amount,payment_date,payment_status,gateway_fee,tax_on_fee,refund_amount,expected_settlement,settlement_id,settled_amount,settlement_date,difference,status,priority_score,priority,fee_percentage,refund_percentage,difference_percentage,settlement_available,ml_prediction,is_anomaly,anomaly_score,ml_risk,combined_risk_score,risk_level
TXN001672,ORD001672,CUST00270,14507.92,2026-08-19,SUCCESS,354.82,63.87,0.0,14089.23,,,,14089.23,MISSING_SETTLEMENT,14589.23,CRITICAL,2.4456986253025934,0.0,100.0,0,-1,1,87.44,CRITICAL,77.19,HIGH
TXN000549,ORD000549,CUST00647,16217.9,2026-08-03,SUCCESS,197.87,35.62,3493.69,12490.72,,,,12490.72,MISSING_SETTLEMENT,12990.72,CRITICAL,1.2200716492270887,21.542184869804355,100.0,0,-1,1,91.75,CRITICAL,77.07,HIGH
TXN000306,ORD000306,CUST00331,15132.47,2026-08-01,SUCCESS,176.13,31.7,0.0,14924.64,,,,14924.64,MISSING_SETTLEMENT,15424.64,CRITICAL,1.163921025450571,0.0,100.0,0,-1,1,84.71,CRITICAL,76.97,HIGH
TXN001332,ORD001332,CUST00639,14730.64,2026-08-26,SUCCESS,340.08,61.21,0.0,14329.35,,,,14329.35,MISSING_SETTLEMENT,14829.35,CRITICAL,2.308657329213123,0.0,100.0,0,-1,1,85.85,CRITICAL,76.64,HIGH
TXN001261,ORD001261,CUST00406,14691.81,2026-08-11,SUCCESS,165.89,29.86,0.0,14496.06,,,,14496.06,MISSING_SETTLEMENT,14996.06,CRITICAL,1.1291324894618158,0.0,100.0,0,-1,1,84.0,CRITICAL,75.82,HIGH
TXN000097,ORD000097,CUST00052,14646.02,2026-08-17,SUCCESS,283.88,51.1,0.0,14311.04,,,,14311.04,MISSING_SETTLEMENT,14811.04,CRITICAL,1.9382740157394294,0.0,100.0,0,-1,1,84.26,CRITICAL,75.66,HIGH
TXN000703,ORD000703,CUST00528,14085.12,2026-08-11,SUCCESS,165.36,29.76,0.0,13890.0,,,,13890.0,MISSING_SETTLEMENT,14390.0,CRITICAL,1.174004907306434,0.0,100.0,0,-1,1,84.79,CRITICAL,75.26,HIGH
TXN001380,ORD001380,CUST00384,14080.28,2026-08-20,SUCCESS,157.4,28.33,0.0,13894.55,,,,13894.55,MISSING_SETTLEMENT,14394.55,CRITICAL,1.1178754967940978,0.0,100.0,0,-1,1,84.49,CRITICAL,75.09,HIGH
TXN001496,ORD001496,CUST00052,12722.54,2026-08-18,SUCCESS,152.91,27.52,0.0,12542.11,,,,12542.11,MISSING_SETTLEMENT,13042.11,CRITICAL,1.2018826429313643,0.0,100.0,0,-1,1,84.25,CRITICAL,72.65,HIGH
TXN001632,ORD001632,CUST00595,12231.04,2026-08-11,SUCCESS,294.25,52.96,0.0,11883.83,,,,11883.83,MISSING_SETTLEMENT,12383.83,CRITICAL,2.4057643503741297,0.0,100.0,0,-1,1,85.03,CRITICAL,72.01,HIGH
TXN000302,ORD000302,CUST00296,11034.92,2026-08-15,SUCCESS,197.59,35.57,0.0,10801.76,,,,10801.76,MISSING_SETTLEMENT,11301.76,CRITICAL,1.7905884229337414,0.0,100.0,0,-1,1,78.8,HIGH,66.44,HIGH
TXN000514,ORD000514,CUST00091,10974.12,2026-08-04,SUCCESS,199.94,35.99,0.0,10738.19,,,,10738.19,MISSING_SETTLEMENT,11238.19,CRITICAL,1.8219228512172274,0.0,100.0,0,-1,1,78.51,HIGH,66.15,HIGH
TXN000707,ORD000707,CUST00631,10511.56,2026-08-06,SUCCESS,222.76,40.1,0.0,10248.7,,,,10248.7,MISSING_SETTLEMENT,10748.7,CRITICAL,2.119190681497323,0.0,100.0,0,-1,1,79.45,HIGH,65.89,HIGH
TXN000078,ORD000078,CUST00363,10647.11,2026-08-15,SUCCESS,206.32,37.14,0.0,10403.65,,,,10403.65,MISSING_SETTLEMENT,10903.65,CRITICAL,1.937802840395187,0.0,100.0,0,-1,1,78.47,HIGH,65.56,HIGH
TXN001037,ORD001037,CUST00524,9772.74,2026-08-20,SUCCESS,103.6,18.65,0.0,9650.49,,,,9650.49,MISSING_SETTLEMENT,10150.49,CRITICAL,1.0600916426713491,0.0,100.0,0,-1,1,79.16,HIGH,64.7,HIGH
TXN000827,ORD000827,CUST00023,9959.12,2026-08-01,SUCCESS,201.45,36.26,0.0,9721.41,,,,9721.41,MISSING_SETTLEMENT,10221.41,CRITICAL,2.0227690799990357,0.0,100.0,0,-1,1,77.11,HIGH,63.59,HIGH
TXN001978,ORD001978,CUST00591,9600.5,2026-08-25,SUCCESS,208.26,37.49,0.0,9354.75,,,,9354.75,MISSING_SETTLEMENT,9854.75,CRITICAL,2.1692620176032498,0.0,100.0,0,-1,1,77.83,HIGH,63.4,HIGH
TXN001711,ORD001711,CUST00431,9322.4,2026-08-02,SUCCESS,161.79,29.12,0.0,9131.49,,,,9131.49,MISSING_SETTLEMENT,9631.49,CRITICAL,1.7354972968334332,0.0,100.0,0,-1,1,75.83,HIGH,61.82,HIGH
TXN001011,ORD001011,CUST00495,8772.68,2026-08-04,SUCCESS,204.37,36.79,0.0,8531.52,,,,8531.52,MISSING_SETTLEMENT,9031.52,CRITICAL,2.329618771002704,0.0,100.0,0,-1,1,76.99,HIGH,61.5,HIGH
