transaction_id,order_id,customer_id,amount,payment_date,payment_status,gateway_fee,tax_on_fee,refund_amount,expected_settlement,settlement_id,settled_amount,settlement_date,difference,status,priority_score,priority
TXN001496,ORD001496,CUST00052,12722.54,2026-08-18,SUCCESS,152.91,27.52,0.0,12542.11,,,,12542.11,MISSING_SETTLEMENT,13042.11,CRITICAL
TXN000549,ORD000549,CUST00647,16217.9,2026-08-03,SUCCESS,197.87,35.62,3493.69,12490.72,,,,12490.72,MISSING_SETTLEMENT,12990.72,CRITICAL
TXN001632,ORD001632,CUST00595,12231.04,2026-08-11,SUCCESS,294.25,52.96,0.0,11883.83,,,,11883.83,MISSING_SETTLEMENT,12383.83,CRITICAL
TXN000302,ORD000302,CUST00296,11034.92,2026-08-15,SUCCESS,197.59,35.57,0.0,10801.76,,,,10801.76,MISSING_SETTLEMENT,11301.76,CRITICAL
TXN000514,ORD000514,CUST00091,10974.12,2026-08-04,SUCCESS,199.94,35.99,0.0,10738.19,,,,10738.19,MISSING_SETTLEMENT,11238.19,CRITICAL
TXN000078,ORD000078,CUST00363,10647.11,2026-08-15,SUCCESS,206.32,37.14,0.0,10403.65,,,,10403.65,MISSING_SETTLEMENT,10903.65,CRITICAL
TXN000707,ORD000707,CUST00631,10511.56,2026-08-06,SUCCESS,222.76,40.1,0.0,10248.7,,,,10248.7,MISSING_SETTLEMENT,10748.7,CRITICAL
TXN000827,ORD000827,CUST00023,9959.12,2026-08-01,SUCCESS,201.45,36.26,0.0,9721.41,,,,9721.41,MISSING_SETTLEMENT,10221.41,CRITICAL
TXN001037,ORD001037,CUST00524,9772.74,2026-08-20,SUCCESS,103.6,18.65,0.0,9650.49,,,,9650.49,MISSING_SETTLEMENT,10150.49,CRITICAL
TXN001978,ORD001978,CUST00591,9600.5,2026-08-25,SUCCESS,208.26,37.49,0.0,9354.75,,,,9354.75,MISSING_SETTLEMENT,9854.75,CRITICAL
TXN001711,ORD001711,CUST00431,9322.4,2026-08-02,SUCCESS,161.79,29.12,0.0,9131.49,,,,9131.49,MISSING_SETTLEMENT,9631.49,CRITICAL
TXN001011,ORD001011,CUST00495,8772.68,2026-08-04,SUCCESS,204.37,36.79,0.0,8531.52,,,,8531.52,MISSING_SETTLEMENT,9031.52,CRITICAL
TXN001985,ORD001985,CUST00043,8050.98,2026-08-19,SUCCESS,177.89,32.02,0.0,7841.07,,,,7841.07,MISSING_SETTLEMENT,8341.07,CRITICAL
TXN001872,ORD001872,CUST00140,7310.92,2026-08-21,SUCCESS,116.39,20.95,0.0,7173.58,,,,7173.58,MISSING_SETTLEMENT,7673.58,CRITICAL
TXN000789,ORD000789,CUST00344,7185.59,2026-08-21,SUCCESS,137.64,24.78,0.0,7023.17,,,,7023.17,MISSING_SETTLEMENT,7523.17,CRITICAL
TXN000263,ORD000263,CUST00465,6845.82,2026-08-09,SUCCESS,76.61,13.79,0.0,6755.42,,,,6755.42,MISSING_SETTLEMENT,7255.42,CRITICAL
TXN000920,ORD000920,CUST00579,6155.88,2026-08-23,SUCCESS,63.0,11.34,0.0,6081.54,,,,6081.54,MISSING_SETTLEMENT,6581.54,CRITICAL
TXN000143,ORD000143,CUST00482,5638.6,2026-08-15,SUCCESS,76.02,13.68,0.0,5548.9,,,,5548.9,MISSING_SETTLEMENT,6048.9,CRITICAL
TXN001825,ORD001825,CUST00629,7234.44,2026-08-21,SUCCESS,145.44,26.18,1971.65,5091.17,,,,5091.17,MISSING_SETTLEMENT,5591.17,CRITICAL
TXN000088,ORD000088,CUST00243,4241.15,2026-08-16,SUCCESS,77.72,13.99,0.0,4149.44,,,,4149.44,MISSING_SETTLEMENT,4649.44,HIGH
TXN001367,ORD001367,CUST00051,4156.39,2026-08-19,SUCCESS,97.03,17.47,0.0,4041.89,,,,4041.89,MISSING_SETTLEMENT,4541.889999999999,HIGH
TXN000581,ORD000581,CUST00620,3546.12,2026-08-09,SUCCESS,52.38,9.43,0.0,3484.31,,,,3484.31,MISSING_SETTLEMENT,3984.31,HIGH
TXN001268,ORD001268,CUST00302,3270.97,2026-08-24,SUCCESS,69.81,12.57,0.0,3188.59,,,,3188.59,MISSING_SETTLEMENT,3688.59,HIGH
TXN001782,ORD001782,CUST00110,3084.97,2026-08-03,SUCCESS,34.65,6.24,0.0,3044.08,,,,3044.08,MISSING_SETTLEMENT,3544.08,HIGH
TXN000264,ORD000264,CUST00237,3104.33,2026-08-07,SUCCESS,58.99,10.62,0.0,3034.72,,,,3034.72,MISSING_SETTLEMENT,3534.72,HIGH
TXN000426,ORD000426,CUST00372,2573.93,2026-08-22,SUCCESS,29.1,5.24,0.0,2539.59,,,,2539.59,MISSING_SETTLEMENT,3039.59,HIGH
TXN000359,ORD000359,CUST00666,2099.85,2026-08-11,SUCCESS,41.34,7.44,0.0,2051.07,,,,2051.07,MISSING_SETTLEMENT,2551.07,HIGH
TXN001604,ORD001604,CUST00572,1854.01,2026-08-08,SUCCESS,21.1,3.8,0.0,1829.11,,,,1829.11,MISSING_SETTLEMENT,2329.1099999999997,HIGH
TXN000428,ORD000428,CUST00368,1607.7,2026-08-09,SUCCESS,17.19,3.09,0.0,1587.42,,,,1587.42,MISSING_SETTLEMENT,2087.42,HIGH
TXN000140,ORD000140,CUST00422,20075.65,2026-08-24,SUCCESS,281.12,50.6,0.0,19743.93,SET000136,18275.53,2026-08-25,1468.4,UNDER_SETTLED,1768.4,MEDIUM
TXN001297,ORD001297,CUST00554,6705.09,2026-08-10,SUCCESS,91.67,16.5,0.0,6596.92,SET001266,5155.0,2026-08-12,1441.92,UNDER_SETTLED,1741.92,MEDIUM
TXN001246,ORD001246,CUST00398,8934.64,2026-08-06,SUCCESS,136.43,24.56,0.0,8773.65,SET001218,7373.06,2026-08-07,1400.59,UNDER_SETTLED,1700.59,MEDIUM
TXN000086,ORD000086,CUST00101,1359.65,2026-08-18,SUCCESS,30.22,5.44,0.0,1323.99,SET000084,0.0,2026-08-20,1323.99,UNDER_SETTLED,1623.99,MEDIUM
TXN000752,ORD000752,CUST00213,14066.08,2026-08-22,SUCCESS,160.06,28.81,0.0,13877.21,SET000732,12580.81,2026-08-24,1296.4,UNDER_SETTLED,1596.4,MEDIUM
TXN001387,ORD001387,CUST00615,10162.05,2026-08-11,SUCCESS,118.06,21.25,0.0,10022.74,SET001353,8729.53,2026-08-12,1293.21,UNDER_SETTLED,1593.21,MEDIUM
TXN000628,ORD000628,CUST00280,3199.43,2026-08-12,SUCCESS,38.81,6.99,0.0,3153.63,SET000610,1860.79,2026-08-13,1292.84,UNDER_SETTLED,1592.84,MEDIUM
TXN001723,ORD001723,CUST00437,16324.24,2026-08-09,SUCCESS,168.4,30.31,0.0,16125.53,SET001678,14839.15,2026-08-10,1286.38,UNDER_SETTLED,1586.38,MEDIUM
TXN000556,ORD000556,CUST00679,9859.75,2026-08-20,SUCCESS,145.42,26.18,0.0,9688.15,SET000539,8405.0,2026-08-21,1283.15,UNDER_SETTLED,1583.15,MEDIUM
TXN001215,ORD001215,CUST00382,17188.5,2026-08-21,SUCCESS,403.97,72.71,0.0,16711.82,SET001187,15443.21,2026-08-23,1268.61,UNDER_SETTLED,1568.61,MEDIUM
TXN001463,ORD001463,CUST00271,11660.51,2026-08-04,SUCCESS,231.79,41.72,0.0,11387.0,SET001427,10150.67,2026-08-07,1236.33,UNDER_SETTLED,1536.33,MEDIUM
TXN000704,ORD000704,CUST00248,11715.17,2026-08-09,SUCCESS,146.6,26.39,0.0,11542.18,SET000685,10359.12,2026-08-10,1183.06,UNDER_SETTLED,1483.06,MEDIUM
TXN000639,ORD000639,CUST00360,11233.53,2026-08-24,SUCCESS,274.17,49.35,0.0,10910.01,SET000621,9760.1,2026-08-26,1149.91,UNDER_SETTLED,1449.91,MEDIUM
TXN000199,ORD000199,CUST00142,3855.68,2026-08-13,SUCCESS,65.24,11.74,0.0,3778.7,SET000194,2634.71,2026-08-14,1143.99,UNDER_SETTLED,1443.99,MEDIUM
TXN000882,ORD000882,CUST00619,17623.84,2026-08-13,SUCCESS,221.77,39.92,0.0,17362.15,SET000858,16227.9,2026-08-15,1134.25,UNDER_SETTLED,1434.25,MEDIUM
TXN001335,ORD001335,CUST00103,23130.71,2026-08-19,SUCCESS,335.77,60.44,0.0,22734.5,SET001303,21600.35,2026-08-20,1134.15,UNDER_SETTLED,1434.15,MEDIUM
TXN000833,ORD000833,CUST00657,24460.5,2026-08-21,SUCCESS,597.18,107.49,0.0,23755.83,SET000810,22639.07,2026-08-23,1116.76,UNDER_SETTLED,1416.76,MEDIUM
TXN000113,ORD000113,CUST00251,9301.22,2026-08-06,SUCCESS,111.88,20.14,0.0,9169.2,SET000109,8071.33,2026-08-09,1097.87,UNDER_SETTLED,1397.87,MEDIUM
TXN001057,ORD001057,CUST00452,13704.2,2026-08-14,SUCCESS,281.62,50.69,0.0,13371.89,SET001030,12307.29,2026-08-17,1064.6,UNDER_SETTLED,1364.6,MEDIUM
TXN000365,ORD000365,CUST00093,10905.89,2026-08-04,SUCCESS,237.31,42.72,0.0,10625.86,SET000353,9623.17,2026-08-05,1002.69,UNDER_SETTLED,1302.69,MEDIUM
TXN001169,ORD001169,CUST00586,9382.92,2026-08-17,SUCCESS,158.0,28.44,0.0,9196.48,SET001142,8204.01,2026-08-18,992.47,UNDER_SETTLED,1292.47,MEDIUM
TXN000944,ORD000944,CUST00629,23875.97,2026-08-13,SUCCESS,240.4,43.27,0.0,23592.3,SET000919,22604.0,2026-08-14,988.3,UNDER_SETTLED,1288.3,MEDIUM
TXN000266,ORD000266,CUST00190,4869.37,2026-08-24,SUCCESS,88.67,15.96,3977.98,786.76,,,,786.76,MISSING_SETTLEMENT,1286.76,MEDIUM
TXN001521,ORD001521,CUST00425,1257.86,2026-08-21,SUCCESS,29.84,5.37,0.0,1222.65,SET001484,245.69,2026-08-23,976.96,UNDER_SETTLED,1276.96,MEDIUM
TXN001184,ORD001184,CUST00386,21240.25,2026-08-24,SUCCESS,271.18,48.81,0.0,20920.26,SET001156,19968.32,2026-08-27,951.94,UNDER_SETTLED,1251.94,MEDIUM
TXN000480,ORD000480,CUST00571,753.72,2026-08-22,SUCCESS,12.83,2.31,0.0,738.58,,,,738.58,MISSING_SETTLEMENT,1238.58,MEDIUM
TXN000364,ORD000364,CUST00295,24935.91,2026-08-24,SUCCESS,374.7,67.45,0.0,24493.76,SET000352,23646.91,2026-08-27,846.85,UNDER_SETTLED,1146.85,MEDIUM
TXN001812,ORD001812,CUST00257,14097.25,2026-08-19,SUCCESS,289.26,52.07,0.0,13755.92,SET001765,12909.5,2026-08-22,846.42,UNDER_SETTLED,1146.42,MEDIUM
TXN000700,ORD000700,CUST00622,3677.35,2026-08-23,SUCCESS,55.81,10.05,465.98,3145.51,SET000682,2334.86,2026-08-26,810.65,UNDER_SETTLED,1110.65,MEDIUM
TXN000722,ORD000722,CUST00296,1930.94,2026-08-17,SUCCESS,45.89,8.26,0.0,1876.79,SET000702,1162.81,2026-08-19,713.98,UNDER_SETTLED,1013.98,MEDIUM
TXN001072,ORD001072,CUST00422,22977.34,2026-08-09,SUCCESS,344.51,62.01,0.0,22570.82,SET001045,21876.96,2026-08-10,693.86,UNDER_SETTLED,993.86,MEDIUM
TXN001830,ORD001830,CUST00322,7990.27,2026-08-10,SUCCESS,173.64,31.26,0.0,7785.37,SET001782,7110.84,2026-08-11,674.53,UNDER_SETTLED,974.53,MEDIUM
TXN000436,ORD000436,CUST00337,19381.78,2026-08-26,SUCCESS,249.8,44.96,0.0,19087.02,SET000422,18451.49,2026-08-28,635.53,UNDER_SETTLED,935.53,MEDIUM
TXN001744,ORD001744,CUST00180,16043.25,2026-08-15,SUCCESS,221.93,39.95,0.0,15781.37,SET001698,15153.52,2026-08-18,627.85,UNDER_SETTLED,927.85,MEDIUM
TXN000074,ORD000074,CUST00498,5434.5,2026-08-05,SUCCESS,86.41,15.55,0.0,5332.54,SET000073,4712.47,2026-08-07,620.07,UNDER_SETTLED,920.07,MEDIUM
TXN000790,ORD000790,CUST00557,13155.53,2026-08-05,SUCCESS,166.77,30.02,0.0,12958.74,SET000768,12356.53,2026-08-08,602.21,UNDER_SETTLED,902.21,MEDIUM
TXN000723,ORD000723,CUST00462,19133.66,2026-08-09,SUCCESS,374.28,67.37,0.0,18692.01,SET000703,18102.48,2026-08-12,589.53,UNDER_SETTLED,889.53,MEDIUM
TXN000031,ORD000031,CUST00324,10089.0,2026-08-03,SUCCESS,132.52,23.85,0.0,9932.63,SET000031,9343.54,2026-08-04,589.09,UNDER_SETTLED,889.09,MEDIUM
TXN001980,ORD001980,CUST00357,22006.83,2026-08-14,SUCCESS,468.49,84.33,0.0,21454.01,SET001928,20867.37,2026-08-17,586.64,UNDER_SETTLED,886.64,MEDIUM
TXN001619,ORD001619,CUST00664,9390.95,2026-08-01,SUCCESS,150.58,27.1,0.0,9213.27,SET001579,8633.5,2026-08-04,579.77,UNDER_SETTLED,879.77,MEDIUM
TXN000087,ORD000087,CUST00016,24228.01,2026-08-25,SUCCESS,252.99,45.54,0.0,23929.48,SET000085,23389.07,2026-08-27,540.41,UNDER_SETTLED,840.41,MEDIUM
TXN000515,ORD000515,CUST00250,10948.35,2026-08-13,SUCCESS,269.42,48.5,0.0,10630.43,SET000499,10134.21,2026-08-16,496.22,UNDER_SETTLED,796.22,MEDIUM
TXN000355,ORD000355,CUST00016,18088.85,2026-08-14,SUCCESS,272.58,49.06,0.0,17767.21,SET000345,17283.03,2026-08-15,484.18,UNDER_SETTLED,784.1800000000001,MEDIUM
TXN000435,ORD000435,CUST00213,14700.94,2026-08-08,SUCCESS,217.77,39.2,0.0,14443.97,SET000421,13962.35,2026-08-09,481.62,UNDER_SETTLED,781.62,MEDIUM
TXN001720,ORD001720,CUST00533,279.13,2026-08-21,SUCCESS,4.31,0.78,0.0,274.04,,,,274.04,MISSING_SETTLEMENT,774.04,MEDIUM
TXN000746,ORD000746,CUST00249,886.11,2026-08-23,SUCCESS,10.24,1.84,0.0,874.03,SET000726,444.88,2026-08-25,429.15,UNDER_SETTLED,729.15,MEDIUM
TXN000036,ORD000036,CUST00253,18650.23,2026-08-18,SUCCESS,321.63,57.89,0.0,18270.71,SET000036,17977.79,2026-08-21,292.92,UNDER_SETTLED,592.9200000000001,MEDIUM
TXN000519,ORD000519,CUST00117,13312.06,2026-08-07,SUCCESS,251.13,45.2,0.0,13015.73,SET000503,12722.92,2026-08-09,292.81,UNDER_SETTLED,592.81,MEDIUM
TXN000583,ORD000583,CUST00568,23363.91,2026-08-23,SUCCESS,367.36,66.12,0.0,22930.43,SET000565,22659.89,2026-08-25,270.54,UNDER_SETTLED,570.54,MEDIUM
TXN001334,ORD001334,CUST00152,14208.19,2026-08-19,SUCCESS,288.06,51.85,0.0,13868.28,SET001302,13611.92,2026-08-22,256.36,UNDER_SETTLED,556.36,MEDIUM
TXN000040,ORD000040,CUST00049,21541.46,2026-08-05,SUCCESS,221.36,39.84,0.0,21280.26,SET000040,21031.85,2026-08-08,248.41,UNDER_SETTLED,548.41,MEDIUM
TXN001866,ORD001866,CUST00226,6648.21,2026-08-14,SUCCESS,126.14,22.71,0.0,6499.36,SET001818,6252.09,2026-08-16,247.27,UNDER_SETTLED,547.27,MEDIUM
TXN000277,ORD000277,CUST00259,23532.48,2026-08-16,SUCCESS,340.67,61.32,0.0,23130.49,SET000269,22914.34,2026-08-17,216.15,UNDER_SETTLED,516.15,MEDIUM
TXN000243,ORD000243,CUST00535,24140.3,2026-08-09,SUCCESS,499.24,89.86,0.0,23551.2,SET000238,23414.45,2026-08-11,136.75,UNDER_SETTLED,436.75,LOW
TXN001007,ORD001007,CUST00495,2703.28,2026-08-14,SUCCESS,61.57,11.08,0.0,2630.63,SET000982,2502.59,2026-08-17,128.04,UNDER_SETTLED,428.03999999999996,LOW
TXN000377,ORD000377,CUST00010,22482.82,2026-08-15,SUCCESS,344.08,61.93,0.0,22076.81,SET000365,21962.26,2026-08-16,114.55,UNDER_SETTLED,414.55,LOW
