transaction_id,order_id,customer_id,amount,expected_settlement,settled_amount,difference,status,priority,anomaly_score,ml_risk,combined_risk_score,risk_level
TXN000029,ORD000029,CUST00333,21087.01,20670.2,20670.2,0.0,MATCHED,LOW,9.72,LOW,5.83,LOW
TXN000030,ORD000030,CUST00058,5803.3,5732.49,5732.49,0.0,MATCHED,LOW,12.49,LOW,7.49,LOW
TXN000031,ORD000031,CUST00324,10089.0,9932.63,9343.54,589.09,UNDER_SETTLED,MEDIUM,26.51,LOW,17.41,LOW
TXN000032,ORD000032,CUST00217,22837.09,22350.14,22350.14,0.0,MATCHED,LOW,16.23,LOW,9.74,LOW
TXN000033,ORD000033,CUST00323,5394.4,5311.29,5311.29,0.0,MATCHED,LOW,7.19,LOW,4.31,LOW
TXN000034,ORD000034,CUST00406,22128.61,21662.55,21662.55,0.0,MATCHED,LOW,13.73,LOW,8.24,LOW
TXN000035,ORD000035,CUST00470,3657.5,3597.59,3597.59,0.0,MATCHED,LOW,8.91,LOW,5.35,LOW
TXN000036,ORD000036,CUST00253,18650.23,18270.71,17977.79,292.92,UNDER_SETTLED,MEDIUM,25.98,LOW,16.59,LOW
TXN000037,ORD000037,CUST00270,18700.64,18238.36,18238.36,0.0,MATCHED,LOW,9.39,LOW,5.63,LOW
TXN000038,ORD000038,CUST00598,10045.07,9901.41,9901.41,0.0,MATCHED,LOW,6.35,LOW,3.81,LOW
TXN000039,ORD000039,CUST00142,12787.2,12478.16,12478.16,0.0,MATCHED,LOW,1.95,LOW,1.17,LOW
TXN000040,ORD000040,CUST00049,21541.46,21280.26,21031.85,248.41,UNDER_SETTLED,MEDIUM,32.51,LOW,20.44,LOW
TXN000041,ORD000041,CUST00643,4083.55,3993.22,3993.22,0.0,MATCHED,LOW,7.45,LOW,4.47,LOW
TXN000042,ORD000042,CUST00433,14950.58,14598.57,14598.57,0.0,MATCHED,LOW,4.13,LOW,2.48,LOW
TXN000043,ORD000043,CUST00391,14937.62,14749.86,14749.86,0.0,MATCHED,LOW,10.66,LOW,6.4,LOW
TXN000044,ORD000044,CUST00542,6360.21,6265.99,6265.99,0.0,MATCHED,LOW,5.87,LOW,3.52,LOW
TXN000045,ORD000045,CUST00012,17039.06,16752.34,,16752.34,MISSING_SETTLEMENT,CRITICAL,88.84,CRITICAL,82.54,CRITICAL
TXN000046,ORD000046,CUST00699,22131.23,21560.94,21560.94,0.0,MATCHED,LOW,22.6,LOW,13.56,LOW
TXN000047,ORD000047,CUST00274,19238.11,18800.67,18800.67,0.0,MATCHED,LOW,8.4,LOW,5.04,LOW
TXN000048,ORD000048,CUST00115,7408.15,7313.77,7313.77,0.0,MATCHED,LOW,10.03,LOW,6.02,LOW
TXN000049,ORD000049,CUST00465,180.81,176.59,176.59,0.0,MATCHED,LOW,29.84,LOW,17.9,LOW
TXN000050,ORD000050,CUST00270,24300.01,24009.68,24009.68,0.0,MATCHED,LOW,30.25,LOW,18.15,LOW
TXN000051,ORD000051,CUST00183,12741.27,12503.28,12503.28,0.0,MATCHED,LOW,1.45,LOW,0.87,LOW
TXN000052,ORD000052,CUST00641,7531.28,5862.26,5862.26,0.0,MATCHED,LOW,26.15,LOW,15.69,LOW
TXN000053,ORD000053,CUST00520,15263.36,14853.05,14853.05,0.0,MATCHED,LOW,9.69,LOW,5.81,LOW
TXN000054,ORD000054,CUST00383,19086.52,18638.3,18638.3,0.0,MATCHED,LOW,9.07,LOW,5.44,LOW
TXN000055,ORD000055,CUST00544,22970.49,22348.04,22348.04,0.0,MATCHED,LOW,31.83,LOW,19.1,LOW
TXN000056,ORD000056,CUST00332,12266.28,12117.4,12117.4,0.0,MATCHED,LOW,11.61,LOW,6.97,LOW
TXN000057,ORD000057,CUST00372,21980.17,21383.34,21383.34,0.0,MATCHED,LOW,24.72,LOW,14.83,LOW
TXN000058,ORD000058,CUST00315,6062.36,5921.14,5921.14,0.0,MATCHED,LOW,3.14,LOW,1.88,LOW
TXN000059,ORD000059,CUST00581,23679.04,23302.74,23302.74,0.0,MATCHED,LOW,19.5,LOW,11.7,LOW
TXN000060,ORD000060,CUST00498,20418.98,20040.45,20040.45,0.0,MATCHED,LOW,9.3,LOW,5.58,LOW
TXN000061,ORD000061,CUST00546,19169.28,18611.72,18611.72,0.0,MATCHED,LOW,24.13,LOW,14.48,LOW
TXN000062,ORD000062,CUST00676,11934.53,11772.66,11772.66,0.0,MATCHED,LOW,8.78,LOW,5.27,LOW
TXN000063,ORD000063,CUST00170,6699.91,6583.44,6583.44,0.0,MATCHED,LOW,3.58,LOW,2.15,LOW
TXN000064,ORD000064,CUST00434,24112.64,23458.18,23458.18,0.0,MATCHED,LOW,40.74,MEDIUM,24.44,LOW
TXN000065,ORD000065,CUST00206,17852.43,17473.8,17473.8,0.0,MATCHED,LOW,6.95,LOW,4.17,LOW
TXN000066,ORD000066,CUST00688,16281.96,16036.11,16036.11,0.0,MATCHED,LOW,5.28,LOW,3.17,LOW
TXN000067,ORD000067,CUST00530,11342.0,11107.65,11107.65,0.0,MATCHED,LOW,0.82,LOW,0.49,LOW
TXN000068,ORD000068,CUST00231,1694.24,1320.45,1320.45,0.0,MATCHED,LOW,28.95,LOW,17.37,LOW
TXN000069,ORD000069,CUST00603,13892.65,0.0,0.0,0.0,MATCHED,LOW,73.51,HIGH,44.11,MEDIUM
TXN000070,ORD000070,CUST00226,279.05,275.65,275.65,0.0,MATCHED,LOW,33.61,LOW,20.17,LOW
TXN000071,ORD000071,CUST00647,1565.96,1540.63,1540.63,0.0,MATCHED,LOW,16.44,LOW,9.86,LOW
TXN000072,ORD000072,CUST00033,21504.92,21049.65,21049.65,0.0,MATCHED,LOW,12.63,LOW,7.58,LOW
TXN000073,ORD000073,CUST00527,6026.32,5919.62,5919.62,0.0,MATCHED,LOW,4.51,LOW,2.71,LOW
TXN000074,ORD000074,CUST00498,5434.5,5332.54,4712.47,620.07,UNDER_SETTLED,MEDIUM,31.57,LOW,20.5,LOW
TXN000075,ORD000075,CUST00585,14447.67,14237.04,14237.04,0.0,MATCHED,LOW,6.46,LOW,3.88,LOW
TXN000076,ORD000076,CUST00485,20206.68,19844.21,19844.21,0.0,MATCHED,LOW,10.03,LOW,6.02,LOW
TXN000077,ORD000077,CUST00097,2513.58,2468.27,2468.27,0.0,MATCHED,LOW,11.61,LOW,6.97,LOW
TXN000078,ORD000078,CUST00363,10647.11,10403.65,,10403.65,MISSING_SETTLEMENT,CRITICAL,78.47,HIGH,65.56,HIGH
TXN000079,ORD000079,CUST00056,16866.78,16597.23,16597.23,0.0,MATCHED,LOW,6.17,LOW,3.7,LOW
TXN000080,ORD000080,CUST00101,1609.26,1562.4,1562.4,0.0,MATCHED,LOW,21.91,LOW,13.15,LOW
TXN000081,ORD000081,CUST00348,20034.75,14622.02,14622.02,0.0,MATCHED,LOW,41.93,MEDIUM,25.16,LOW
TXN000082,ORD000082,CUST00255,4870.59,4743.13,4743.13,0.0,MATCHED,LOW,10.27,LOW,6.16,LOW
TXN000083,ORD000083,CUST00460,3590.54,3508.4,3508.4,0.0,MATCHED,LOW,7.91,LOW,4.75,LOW
TXN000084,ORD000084,CUST00286,11619.44,11301.62,11301.62,0.0,MATCHED,LOW,6.76,LOW,4.06,LOW
TXN000085,ORD000085,CUST00454,20219.75,19662.5,19662.5,0.0,MATCHED,LOW,19.21,LOW,11.53,LOW
TXN000086,ORD000086,CUST00101,1359.65,1323.99,0.0,1323.99,UNDER_SETTLED,MEDIUM,59.26,MEDIUM,38.31,MEDIUM
TXN000087,ORD000087,CUST00016,24228.01,23929.48,23389.07,540.41,UNDER_SETTLED,MEDIUM,47.88,MEDIUM,30.15,LOW
TXN000088,ORD000088,CUST00243,4241.15,4149.44,,4149.44,MISSING_SETTLEMENT,HIGH,72.93,HIGH,51.64,MEDIUM
TXN000089,ORD000089,CUST00493,5422.31,5331.44,5331.44,0.0,MATCHED,LOW,6.14,LOW,3.68,LOW
TXN000090,ORD000090,CUST00061,4199.46,4138.63,4138.63,0.0,MATCHED,LOW,10.05,LOW,6.03,LOW
TXN000091,ORD000091,CUST00400,6703.56,5800.15,5800.15,0.0,MATCHED,LOW,21.14,LOW,12.68,LOW
TXN000092,ORD000092,CUST00466,7202.71,7033.97,7033.97,0.0,MATCHED,LOW,2.27,LOW,1.36,LOW
TXN000093,ORD000093,CUST00570,16580.6,16359.18,16359.18,0.0,MATCHED,LOW,8.36,LOW,5.02,LOW
TXN000094,ORD000094,CUST00159,4828.46,4738.82,4738.82,0.0,MATCHED,LOW,6.84,LOW,4.1,LOW
TXN000095,ORD000095,CUST00060,14521.59,14103.33,14103.33,0.0,MATCHED,LOW,13.27,LOW,7.96,LOW
TXN000096,ORD000096,CUST00063,18724.59,18300.66,18300.66,0.0,MATCHED,LOW,6.57,LOW,3.94,LOW
TXN000097,ORD000097,CUST00052,14646.02,14311.04,,14311.04,MISSING_SETTLEMENT,CRITICAL,84.26,CRITICAL,75.66,HIGH
TXN000098,ORD000098,CUST00544,4020.07,3956.46,3956.46,0.0,MATCHED,LOW,8.58,LOW,5.15,LOW
TXN000099,ORD000099,CUST00083,21298.43,20956.5,20956.5,0.0,MATCHED,LOW,11.61,LOW,6.97,LOW
TXN000100,ORD000100,CUST00610,1792.23,1766.23,1766.23,0.0,MATCHED,LOW,18.13,LOW,10.88,LOW
TXN000101,ORD000101,CUST00414,3085.18,2995.77,2995.77,0.0,MATCHED,LOW,16.62,LOW,9.97,LOW
TXN000102,ORD000102,CUST00253,14515.08,14110.08,14110.08,0.0,MATCHED,LOW,11.32,LOW,6.79,LOW
TXN000103,ORD000103,CUST00635,2141.39,2103.64,2103.64,0.0,MATCHED,LOW,13.06,LOW,7.84,LOW
TXN000104,ORD000104,CUST00598,14174.15,13870.85,13870.85,0.0,MATCHED,LOW,2.66,LOW,1.6,LOW
TXN000105,ORD000105,CUST00268,5186.05,5105.88,5105.88,0.0,MATCHED,LOW,8.22,LOW,4.93,LOW
TXN000106,ORD000106,CUST00322,6043.28,5957.15,5957.15,0.0,MATCHED,LOW,7.22,LOW,4.33,LOW
TXN000107,ORD000107,CUST00135,16825.09,16465.33,16465.33,0.0,MATCHED,LOW,6.03,LOW,3.62,LOW
TXN000108,ORD000108,CUST00469,7972.81,7765.83,7765.83,0.0,MATCHED,LOW,5.26,LOW,3.16,LOW
TXN000109,ORD000109,CUST00075,331.95,322.97,322.97,0.0,MATCHED,LOW,29.55,LOW,17.73,LOW
TXN000110,ORD000110,CUST00577,24902.8,24472.75,24472.75,0.0,MATCHED,LOW,28.39,LOW,17.03,LOW
TXN000111,ORD000111,CUST00551,5407.54,390.04,390.04,0.0,MATCHED,LOW,53.92,MEDIUM,32.35,LOW
TXN000112,ORD000112,CUST00136,23338.16,22846.39,22846.39,0.0,MATCHED,LOW,17.44,LOW,10.46,LOW
TXN000113,ORD000113,CUST00251,9301.22,9169.2,8071.33,1097.87,UNDER_SETTLED,MEDIUM,39.76,MEDIUM,26.23,LOW
TXN000114,ORD000114,CUST00449,20860.25,20246.46,20246.46,0.0,MATCHED,LOW,30.59,LOW,18.35,LOW
TXN000115,ORD000115,CUST00310,15330.78,14885.09,14885.09,0.0,MATCHED,LOW,15.93,LOW,9.56,LOW
TXN000116,ORD000116,CUST00670,13270.62,13079.93,13079.93,0.0,MATCHED,LOW,6.15,LOW,3.69,LOW
TXN000117,ORD000117,CUST00568,7554.53,7340.63,7340.63,0.0,MATCHED,LOW,9.65,LOW,5.79,LOW
TXN000118,ORD000118,CUST00107,23479.36,14387.16,14387.16,0.0,MATCHED,LOW,70.03,HIGH,42.02,MEDIUM
TXN000119,ORD000119,CUST00271,2974.17,2922.36,2922.36,0.0,MATCHED,LOW,10.59,LOW,6.35,LOW
TXN000120,ORD000120,CUST00567,3970.65,3884.63,3884.63,0.0,MATCHED,LOW,6.66,LOW,4.0,LOW
TXN000121,ORD000121,CUST00620,5344.68,5191.87,5191.87,0.0,MATCHED,LOW,12.56,LOW,7.54,LOW
TXN000122,ORD000122,CUST00209,17218.68,16979.42,16979.42,0.0,MATCHED,LOW,8.28,LOW,4.97,LOW
TXN000123,ORD000123,CUST00518,12264.44,12050.78,12050.78,0.0,MATCHED,LOW,3.18,LOW,1.91,LOW
TXN000124,ORD000124,CUST00095,15893.68,15458.67,15458.67,0.0,MATCHED,LOW,11.43,LOW,6.86,LOW
TXN000125,ORD000125,CUST00046,188.29,183.64,183.64,0.0,MATCHED,LOW,29.87,LOW,17.92,LOW
TXN000126,ORD000126,CUST00134,15964.12,15559.46,15559.46,0.0,MATCHED,LOW,6.74,LOW,4.04,LOW
TXN000127,ORD000127,CUST00166,18556.65,18048.6,18048.6,0.0,MATCHED,LOW,14.57,LOW,8.74,LOW
TXN000128,ORD000128,CUST00438,14066.58,13797.5,13797.5,0.0,MATCHED,LOW,2.39,LOW,1.43,LOW
TXN000129,ORD000129,CUST00078,23631.77,23180.89,23180.89,0.0,MATCHED,LOW,19.05,LOW,11.43,LOW
TXN000130,ORD000130,CUST00153,13685.2,13416.41,13416.41,0.0,MATCHED,LOW,1.92,LOW,1.15,LOW
TXN000131,ORD000131,CUST00597,13857.87,13465.31,13465.31,0.0,MATCHED,LOW,12.63,LOW,7.58,LOW
TXN000132,ORD000132,CUST00131,1141.54,1110.0,1110.0,0.0,MATCHED,LOW,22.01,LOW,13.21,LOW
TXN000133,ORD000133,CUST00041,22483.22,21846.53,21846.53,0.0,MATCHED,LOW,34.36,LOW,20.62,LOW
TXN000134,ORD000134,CUST00699,6313.29,6208.2,6208.2,0.0,MATCHED,LOW,3.98,LOW,2.39,LOW
TXN000135,ORD000135,CUST00363,19524.89,19025.24,19025.24,0.0,MATCHED,LOW,11.27,LOW,6.76,LOW
TXN000136,ORD000136,CUST00636,18761.99,18505.14,18505.14,0.0,MATCHED,LOW,10.14,LOW,6.08,LOW
TXN000137,ORD000137,CUST00167,24407.53,24039.71,24039.71,0.0,MATCHED,LOW,24.06,LOW,14.44,LOW
TXN000138,ORD000138,CUST00182,22047.26,21489.57,21489.57,0.0,MATCHED,LOW,19.08,LOW,11.45,LOW
TXN000139,ORD000139,CUST00184,18440.46,18023.12,18023.12,0.0,MATCHED,LOW,5.98,LOW,3.59,LOW
TXN000140,ORD000140,CUST00422,20075.65,19743.93,18275.53,1468.4,UNDER_SETTLED,MEDIUM,48.56,MEDIUM,32.13,LOW
TXN000141,ORD000141,CUST00255,6743.46,6596.21,6596.21,0.0,MATCHED,LOW,2.78,LOW,1.67,LOW
TXN000142,ORD000142,CUST00111,9625.29,9472.37,9472.37,0.0,MATCHED,LOW,4.5,LOW,2.7,LOW
TXN000143,ORD000143,CUST00482,5638.6,5548.9,,5548.9,MISSING_SETTLEMENT,CRITICAL,74.56,HIGH,54.99,MEDIUM
TXN000144,ORD000144,CUST00359,7699.25,7514.72,7514.72,0.0,MATCHED,LOW,1.56,LOW,0.94,LOW
TXN000145,ORD000145,CUST00234,5650.8,5548.19,5548.19,0.0,MATCHED,LOW,5.19,LOW,3.11,LOW
TXN000146,ORD000146,CUST00198,10021.8,9781.48,9781.48,0.0,MATCHED,LOW,1.35,LOW,0.81,LOW
TXN000147,ORD000147,CUST00072,24175.54,23686.32,23686.32,0.0,MATCHED,LOW,20.89,LOW,12.53,LOW
TXN000148,ORD000148,CUST00360,16072.9,15740.33,15740.33,0.0,MATCHED,LOW,4.52,LOW,2.71,LOW
TXN000149,ORD000149,CUST00696,24530.63,23978.6,23978.6,0.0,MATCHED,LOW,31.7,LOW,19.02,LOW
TXN000150,ORD000150,CUST00340,23487.0,20181.9,20181.9,0.0,MATCHED,LOW,39.37,MEDIUM,23.62,LOW
TXN000151,ORD000151,CUST00268,4546.34,4462.6,4462.6,0.0,MATCHED,LOW,7.29,LOW,4.37,LOW
TXN000152,ORD000152,CUST00040,2799.22,2723.97,2723.97,0.0,MATCHED,LOW,13.23,LOW,7.94,LOW
TXN000153,ORD000153,CUST00354,18240.77,17866.86,17866.86,0.0,MATCHED,LOW,5.56,LOW,3.34,LOW
TXN000154,ORD000154,CUST00447,15194.6,14978.32,14978.32,0.0,MATCHED,LOW,6.52,LOW,3.91,LOW
TXN000155,ORD000155,CUST00119,9691.37,9543.86,9543.86,0.0,MATCHED,LOW,5.33,LOW,3.2,LOW
TXN000156,ORD000156,CUST00195,6442.59,5349.48,5349.48,0.0,MATCHED,LOW,27.31,LOW,16.39,LOW
TXN000157,ORD000157,CUST00447,142.11,138.51,138.51,0.0,MATCHED,LOW,30.79,LOW,18.47,LOW
TXN000158,ORD000158,CUST00552,17202.74,16995.18,16995.18,0.0,MATCHED,LOW,14.37,LOW,8.62,LOW
TXN000159,ORD000159,CUST00687,5006.17,4923.18,4923.18,0.0,MATCHED,LOW,6.86,LOW,4.12,LOW
TXN000160,ORD000160,CUST00072,23726.97,23273.53,23273.53,0.0,MATCHED,LOW,19.33,LOW,11.6,LOW
TXN000161,ORD000161,CUST00639,7916.5,7719.06,7719.06,0.0,MATCHED,LOW,3.34,LOW,2.0,LOW
TXN000162,ORD000162,CUST00308,12727.35,12354.54,12354.54,0.0,MATCHED,LOW,14.02,LOW,8.41,LOW
TXN000163,ORD000163,CUST00419,8221.95,8014.65,8014.65,0.0,MATCHED,LOW,3.12,LOW,1.87,LOW
TXN000164,ORD000164,CUST00303,13904.87,1349.99,1349.99,0.0,MATCHED,LOW,65.06,HIGH,39.04,MEDIUM
TXN000165,ORD000165,CUST00431,16656.74,16186.85,16186.85,0.0,MATCHED,LOW,15.47,LOW,9.28,LOW
TXN000166,ORD000166,CUST00694,18728.55,18180.82,18180.82,0.0,MATCHED,LOW,23.43,LOW,14.06,LOW
TXN000167,ORD000167,CUST00631,14270.72,13883.29,13883.29,0.0,MATCHED,LOW,10.39,LOW,6.23,LOW
TXN000168,ORD000168,CUST00562,20859.76,20432.72,20432.72,0.0,MATCHED,LOW,9.37,LOW,5.62,LOW
TXN000169,ORD000169,CUST00294,5333.55,5239.94,5239.94,0.0,MATCHED,LOW,5.72,LOW,3.43,LOW
TXN000170,ORD000170,CUST00594,15205.87,14903.29,14903.29,0.0,MATCHED,LOW,2.83,LOW,1.7,LOW
TXN000171,ORD000171,CUST00477,11100.47,10920.99,10920.99,0.0,MATCHED,LOW,3.14,LOW,1.88,LOW
TXN000172,ORD000172,CUST00219,12828.23,12584.93,12584.93,0.0,MATCHED,LOW,1.15,LOW,0.69,LOW
TXN000173,ORD000173,CUST00174,16505.38,16298.4,16298.4,0.0,MATCHED,LOW,11.37,LOW,6.82,LOW
TXN000174,ORD000174,CUST00528,16629.96,16217.28,16217.28,0.0,MATCHED,LOW,5.7,LOW,3.42,LOW
TXN000175,ORD000175,CUST00344,2425.34,2380.39,2380.39,0.0,MATCHED,LOW,11.25,LOW,6.75,LOW
TXN000176,ORD000176,CUST00241,16852.61,16560.42,16560.42,0.0,MATCHED,LOW,4.92,LOW,2.95,LOW
TXN000177,ORD000177,CUST00204,3769.11,3683.84,3683.84,0.0,MATCHED,LOW,8.26,LOW,4.96,LOW
TXN000178,ORD000178,CUST00251,24600.01,23986.45,23986.45,0.0,MATCHED,LOW,35.95,MEDIUM,21.57,LOW
TXN000179,ORD000179,CUST00075,11439.86,11184.64,11184.64,0.0,MATCHED,LOW,1.39,LOW,0.83,LOW
TXN000180,ORD000180,CUST00590,4941.44,4837.19,4837.19,0.0,MATCHED,LOW,5.37,LOW,3.22,LOW
TXN000181,ORD000181,CUST00394,12409.99,9652.85,9652.85,0.0,MATCHED,LOW,29.71,LOW,17.83,LOW
TXN000182,ORD000182,CUST00152,16435.84,16012.98,16012.98,0.0,MATCHED,LOW,8.51,LOW,5.11,LOW
TXN000183,ORD000183,CUST00110,19482.67,19073.23,19073.23,0.0,MATCHED,LOW,7.45,LOW,4.47,LOW
TXN000184,ORD000184,CUST00181,20122.34,19724.04,19724.04,0.0,MATCHED,LOW,8.4,LOW,5.04,LOW
TXN000185,ORD000185,CUST00531,11667.29,11358.83,11358.83,0.0,MATCHED,LOW,5.11,LOW,3.07,LOW
TXN000186,ORD000186,CUST00256,22945.0,22657.02,22657.02,0.0,MATCHED,LOW,24.38,LOW,14.63,LOW
TXN000187,ORD000187,CUST00468,3420.14,3319.5,3319.5,0.0,MATCHED,LOW,16.44,LOW,9.86,LOW
TXN000188,ORD000188,CUST00684,13325.18,13045.6,13045.6,0.0,MATCHED,LOW,2.69,LOW,1.61,LOW
TXN000189,ORD000189,CUST00610,8000.72,7850.29,7850.29,0.0,MATCHED,LOW,2.55,LOW,1.53,LOW
TXN000190,ORD000190,CUST00454,15355.04,14974.04,14974.04,0.0,MATCHED,LOW,6.83,LOW,4.1,LOW
TXN000191,ORD000191,CUST00517,10725.84,10493.39,10493.39,0.0,MATCHED,LOW,0.78,LOW,0.47,LOW
TXN000192,ORD000192,CUST00457,22440.48,21970.67,21970.67,0.0,MATCHED,LOW,14.1,LOW,8.46,LOW
TXN000193,ORD000193,CUST00487,11306.74,11047.1,11047.1,0.0,MATCHED,LOW,1.36,LOW,0.82,LOW
TXN000194,ORD000194,CUST00254,21012.59,20746.31,20746.31,0.0,MATCHED,LOW,18.27,LOW,10.96,LOW
TXN000195,ORD000195,CUST00534,12166.47,11960.21,11960.21,0.0,MATCHED,LOW,3.79,LOW,2.27,LOW
TXN000196,ORD000196,CUST00282,11052.83,10844.54,10844.54,0.0,MATCHED,LOW,1.75,LOW,1.05,LOW
TXN000197,ORD000197,CUST00293,5938.89,5836.8,5836.8,0.0,MATCHED,LOW,4.42,LOW,2.65,LOW
TXN000198,ORD000198,CUST00328,22336.37,21745.6,21745.6,0.0,MATCHED,LOW,25.2,LOW,15.12,LOW
TXN000199,ORD000199,CUST00142,3855.68,3778.7,2634.71,1143.99,UNDER_SETTLED,MEDIUM,43.03,MEDIUM,28.27,LOW
TXN000200,ORD000200,CUST00157,17689.84,17348.82,17348.82,0.0,MATCHED,LOW,5.15,LOW,3.09,LOW
TXN000201,ORD000201,CUST00425,10249.22,10017.06,10017.06,0.0,MATCHED,LOW,0.84,LOW,0.5,LOW
TXN000202,ORD000202,CUST00478,10452.78,10319.35,10319.35,0.0,MATCHED,LOW,10.14,LOW,6.08,LOW
TXN000203,ORD000203,CUST00431,9797.97,9592.7,9592.7,0.0,MATCHED,LOW,1.56,LOW,0.94,LOW
TXN000204,ORD000204,CUST00599,23656.94,23318.23,23318.23,0.0,MATCHED,LOW,20.57,LOW,12.34,LOW
TXN000205,ORD000205,CUST00590,9571.49,9317.96,9317.96,0.0,MATCHED,LOW,5.35,LOW,3.21,LOW
TXN000206,ORD000206,CUST00361,7535.46,7386.3,7386.3,0.0,MATCHED,LOW,1.75,LOW,1.05,LOW
TXN000207,ORD000207,CUST00430,13501.69,13169.67,13169.67,0.0,MATCHED,LOW,2.53,LOW,1.52,LOW
TXN000208,ORD000208,CUST00560,20016.72,19740.42,19740.42,0.0,MATCHED,LOW,12.93,LOW,7.76,LOW
TXN000209,ORD000209,CUST00500,5563.6,5421.27,5421.27,0.0,MATCHED,LOW,7.38,LOW,4.43,LOW
TXN000210,ORD000210,CUST00498,822.72,799.36,799.36,0.0,MATCHED,LOW,24.78,LOW,14.87,LOW
TXN000211,ORD000211,CUST00685,17010.63,16600.31,16600.31,0.0,MATCHED,LOW,5.29,LOW,3.17,LOW
TXN000212,ORD000212,CUST00170,21028.59,20730.09,20730.09,0.0,MATCHED,LOW,13.85,LOW,8.31,LOW
TXN000213,ORD000213,CUST00638,13399.68,13143.48,13143.48,0.0,MATCHED,LOW,1.99,LOW,1.19,LOW
TXN000214,ORD000214,CUST00607,14153.36,13873.39,13873.39,0.0,MATCHED,LOW,2.21,LOW,1.33,LOW
TXN000215,ORD000215,CUST00086,16104.47,15863.44,15863.44,0.0,MATCHED,LOW,5.69,LOW,3.41,LOW
TXN000216,ORD000216,CUST00473,4625.05,4522.15,4522.15,0.0,MATCHED,LOW,7.37,LOW,4.42,LOW
TXN000217,ORD000217,CUST00389,8251.08,8049.64,8049.64,0.0,MATCHED,LOW,1.82,LOW,1.09,LOW
