transaction_id,order_id,customer_id,amount,payment_date,payment_status,gateway_fee,tax_on_fee,refund_amount,settled_amount,settlement_id,expected_settlement,difference,status
TXN000027,ORD000027,CUST00168,11610.28,2026-08-09,SUCCESS,236.93,42.65,0.0,11330.7,SET000027,11330.7,0.0,MATCHED
TXN000028,ORD000028,CUST00656,17235.23,2026-08-08,SUCCESS,201.12,36.2,0.0,16997.91,SET000028,16997.91,0.0,MATCHED
TXN000029,ORD000029,CUST00333,21087.01,2026-08-25,SUCCESS,353.23,63.58,0.0,20670.2,SET000029,20670.2,0.0,MATCHED
TXN000030,ORD000030,CUST00058,5803.3,2026-08-02,SUCCESS,60.01,10.8,0.0,5732.49,SET000030,5732.49,0.0,MATCHED
TXN000031,ORD000031,CUST00324,10089.0,2026-08-03,SUCCESS,132.52,23.85,0.0,9343.54,SET000031,9932.63,589.09,UNDER_SETTLED
TXN000032,ORD000032,CUST00217,22837.09,2026-08-19,SUCCESS,412.67,74.28,0.0,22350.14,SET000032,22350.14,0.0,MATCHED
TXN000033,ORD000033,CUST00323,5394.4,2026-08-16,SUCCESS,70.43,12.68,0.0,5311.29,SET000033,5311.29,0.0,MATCHED
TXN000034,ORD000034,CUST00406,22128.61,2026-08-21,SUCCESS,394.97,71.09,0.0,21662.55,SET000034,21662.55,0.0,MATCHED
TXN000035,ORD000035,CUST00470,3657.5,2026-08-05,SUCCESS,50.77,9.14,0.0,3597.59,SET000035,3597.59,0.0,MATCHED
TXN000036,ORD000036,CUST00253,18650.23,2026-08-18,SUCCESS,321.63,57.89,0.0,17977.79,SET000036,18270.71,292.92,UNDER_SETTLED
TXN000037,ORD000037,CUST00270,18700.64,2026-08-14,SUCCESS,391.76,70.52,0.0,18238.36,SET000037,18238.36,0.0,MATCHED
TXN000038,ORD000038,CUST00598,10045.07,2026-08-08,SUCCESS,121.75,21.91,0.0,9901.41,SET000038,9901.41,0.0,MATCHED
TXN000039,ORD000039,CUST00142,12787.2,2026-08-03,SUCCESS,261.9,47.14,0.0,12478.16,SET000039,12478.16,0.0,MATCHED
TXN000040,ORD000040,CUST00049,21541.46,2026-08-05,SUCCESS,221.36,39.84,0.0,21031.85,SET000040,21280.26,248.41,UNDER_SETTLED
TXN000041,ORD000041,CUST00643,4083.55,2026-08-22,SUCCESS,76.55,13.78,0.0,3993.22,SET000041,3993.22,0.0,MATCHED
TXN000042,ORD000042,CUST00433,14950.58,2026-08-13,SUCCESS,298.31,53.7,0.0,14598.57,SET000042,14598.57,0.0,MATCHED
TXN000043,ORD000043,CUST00391,14937.62,2026-08-15,SUCCESS,159.12,28.64,0.0,14749.86,SET000043,14749.86,0.0,MATCHED
TXN000044,ORD000044,CUST00542,6360.21,2026-08-18,SUCCESS,79.85,14.37,0.0,6265.99,SET000044,6265.99,0.0,MATCHED
TXN000045,ORD000045,CUST00012,17039.06,2026-08-04,SUCCESS,242.98,43.74,0.0,,,16752.34,,MISSING_SETTLEMENT
TXN000046,ORD000046,CUST00699,22131.23,2026-08-25,SUCCESS,483.3,86.99,0.0,21560.94,SET000045,21560.94,0.0,MATCHED
TXN000047,ORD000047,CUST00274,19238.11,2026-08-11,SUCCESS,370.71,66.73,0.0,18800.67,SET000046,18800.67,0.0,MATCHED
TXN000048,ORD000048,CUST00115,7408.15,2026-08-06,SUCCESS,79.98,14.4,0.0,7313.77,SET000047,7313.77,0.0,MATCHED
TXN000049,ORD000049,CUST00465,180.81,2026-08-24,SUCCESS,3.58,0.64,0.0,176.59,SET000048,176.59,0.0,MATCHED
TXN000050,ORD000050,CUST00270,24300.01,2026-08-25,SUCCESS,246.04,44.29,0.0,24009.68,SET000049,24009.68,0.0,MATCHED
TXN000051,ORD000051,CUST00183,12741.27,2026-08-04,SUCCESS,201.69,36.3,0.0,12503.28,SET000050,12503.28,0.0,MATCHED
TXN000052,ORD000052,CUST00641,7531.28,2026-08-21,SUCCESS,105.96,19.07,1543.99,5862.26,SET000051,5862.26,0.0,MATCHED
TXN000053,ORD000053,CUST00520,15263.36,2026-08-05,SUCCESS,347.72,62.59,0.0,14853.05,SET000052,14853.05,0.0,MATCHED
TXN000054,ORD000054,CUST00383,19086.52,2026-08-18,SUCCESS,379.85,68.37,0.0,18638.3,SET000053,18638.3,0.0,MATCHED
TXN000055,ORD000055,CUST00544,22970.49,2026-08-20,SUCCESS,527.5,94.95,0.0,22348.04,SET000054,22348.04,0.0,MATCHED
TXN000056,ORD000056,CUST00332,12266.28,2026-08-04,SUCCESS,126.17,22.71,0.0,12117.4,SET000055,12117.4,0.0,MATCHED
TXN000057,ORD000057,CUST00372,21980.17,2026-08-26,SUCCESS,505.79,91.04,0.0,21383.34,SET000056,21383.34,0.0,MATCHED
TXN000058,ORD000058,CUST00315,6062.36,2026-08-08,SUCCESS,119.68,21.54,0.0,5921.14,SET000057,5921.14,0.0,MATCHED
TXN000059,ORD000059,CUST00581,23679.04,2026-08-03,SUCCESS,318.9,57.4,0.0,23302.74,SET000058,23302.74,0.0,MATCHED
TXN000060,ORD000060,CUST00498,20418.98,2026-08-25,SUCCESS,320.79,57.74,0.0,20040.45,SET000059,20040.45,0.0,MATCHED
TXN000061,ORD000061,CUST00546,19169.28,2026-08-05,SUCCESS,472.51,85.05,0.0,18611.72,SET000060,18611.72,0.0,MATCHED
TXN000062,ORD000062,CUST00676,11934.53,2026-08-18,SUCCESS,137.18,24.69,0.0,11772.66,SET000061,11772.66,0.0,MATCHED
TXN000063,ORD000063,CUST00170,6699.91,2026-08-20,SUCCESS,98.7,17.77,0.0,6583.44,SET000062,6583.44,0.0,MATCHED
TXN000064,ORD000064,CUST00434,24112.64,2026-08-18,SUCCESS,554.63,99.83,0.0,23458.18,SET000063,23458.18,0.0,MATCHED
TXN000065,ORD000065,CUST00206,17852.43,2026-08-13,SUCCESS,320.87,57.76,0.0,17473.8,SET000064,17473.8,0.0,MATCHED
TXN000066,ORD000066,CUST00688,16281.96,2026-08-15,SUCCESS,208.35,37.5,0.0,16036.11,SET000065,16036.11,0.0,MATCHED
TXN000067,ORD000067,CUST00530,11342.0,2026-08-08,SUCCESS,198.6,35.75,0.0,11107.65,SET000066,11107.65,0.0,MATCHED
TXN000068,ORD000068,CUST00231,1694.24,2026-08-01,SUCCESS,28.58,5.14,340.07,1320.45,SET000067,1320.45,0.0,MATCHED
TXN000069,ORD000069,CUST00603,13892.65,2026-08-19,SUCCESS,331.97,59.75,13524.05,0.0,SET000068,0.0,0.0,MATCHED
TXN000070,ORD000070,CUST00226,279.05,2026-08-23,SUCCESS,2.88,0.52,0.0,275.65,SET000069,275.65,0.0,MATCHED
TXN000071,ORD000071,CUST00647,1565.96,2026-08-03,SUCCESS,21.47,3.86,0.0,1540.63,SET000070,1540.63,0.0,MATCHED
TXN000072,ORD000072,CUST00033,21504.92,2026-08-03,SUCCESS,385.82,69.45,0.0,21049.65,SET000071,21049.65,0.0,MATCHED
TXN000073,ORD000073,CUST00527,6026.32,2026-08-22,SUCCESS,90.42,16.28,0.0,5919.62,SET000072,5919.62,0.0,MATCHED
TXN000074,ORD000074,CUST00498,5434.5,2026-08-05,SUCCESS,86.41,15.55,0.0,4712.47,SET000073,5332.54,620.07,UNDER_SETTLED
TXN000075,ORD000075,CUST00585,14447.67,2026-08-08,SUCCESS,178.5,32.13,0.0,14237.04,SET000074,14237.04,0.0,MATCHED
TXN000076,ORD000076,CUST00485,20206.68,2026-08-07,SUCCESS,307.18,55.29,0.0,19844.21,SET000075,19844.21,0.0,MATCHED
TXN000077,ORD000077,CUST00097,2513.58,2026-08-14,SUCCESS,38.4,6.91,0.0,2468.27,SET000076,2468.27,0.0,MATCHED
TXN000078,ORD000078,CUST00363,10647.11,2026-08-15,SUCCESS,206.32,37.14,0.0,,,10403.65,,MISSING_SETTLEMENT
TXN000079,ORD000079,CUST00056,16866.78,2026-08-21,SUCCESS,228.43,41.12,0.0,16597.23,SET000077,16597.23,0.0,MATCHED
TXN000080,ORD000080,CUST00101,1609.26,2026-08-24,SUCCESS,39.71,7.15,0.0,1562.4,SET000078,1562.4,0.0,MATCHED
TXN000081,ORD000081,CUST00348,20034.75,2026-08-04,SUCCESS,350.98,63.18,4998.57,14622.02,SET000079,14622.02,0.0,MATCHED
TXN000082,ORD000082,CUST00255,4870.59,2026-08-18,SUCCESS,108.02,19.44,0.0,4743.13,SET000080,4743.13,0.0,MATCHED
TXN000083,ORD000083,CUST00460,3590.54,2026-08-06,SUCCESS,69.61,12.53,0.0,3508.4,SET000081,3508.4,0.0,MATCHED
TXN000084,ORD000084,CUST00286,11619.44,2026-08-03,SUCCESS,269.34,48.48,0.0,11301.62,SET000082,11301.62,0.0,MATCHED
TXN000085,ORD000085,CUST00454,20219.75,2026-08-18,SUCCESS,472.25,85.0,0.0,19662.5,SET000083,19662.5,0.0,MATCHED
TXN000086,ORD000086,CUST00101,1359.65,2026-08-18,SUCCESS,30.22,5.44,0.0,0.0,SET000084,1323.99,1323.99,UNDER_SETTLED
TXN000087,ORD000087,CUST00016,24228.01,2026-08-25,SUCCESS,252.99,45.54,0.0,23389.07,SET000085,23929.48,540.41,UNDER_SETTLED
TXN000088,ORD000088,CUST00243,4241.15,2026-08-16,SUCCESS,77.72,13.99,0.0,,,4149.44,,MISSING_SETTLEMENT
TXN000089,ORD000089,CUST00493,5422.31,2026-08-13,SUCCESS,77.01,13.86,0.0,5331.44,SET000086,5331.44,0.0,MATCHED
TXN000090,ORD000090,CUST00061,4199.46,2026-08-01,SUCCESS,51.55,9.28,0.0,4138.63,SET000087,4138.63,0.0,MATCHED
TXN000091,ORD000091,CUST00400,6703.56,2026-08-26,SUCCESS,157.25,28.3,717.86,5800.15,SET000088,5800.15,0.0,MATCHED
TXN000092,ORD000092,CUST00466,7202.71,2026-08-23,SUCCESS,143.0,25.74,0.0,7033.97,SET000089,7033.97,0.0,MATCHED
TXN000093,ORD000093,CUST00570,16580.6,2026-08-16,SUCCESS,187.64,33.78,0.0,16359.18,SET000090,16359.18,0.0,MATCHED
TXN000094,ORD000094,CUST00159,4828.46,2026-08-07,SUCCESS,75.97,13.67,0.0,4738.82,SET000091,4738.82,0.0,MATCHED
TXN000095,ORD000095,CUST00060,14521.59,2026-08-18,SUCCESS,354.46,63.8,0.0,14103.33,SET000092,14103.33,0.0,MATCHED
TXN000096,ORD000096,CUST00063,18724.59,2026-08-02,SUCCESS,359.26,64.67,0.0,18300.66,SET000093,18300.66,0.0,MATCHED
TXN000097,ORD000097,CUST00052,14646.02,2026-08-17,SUCCESS,283.88,51.1,0.0,,,14311.04,,MISSING_SETTLEMENT
TXN000098,ORD000098,CUST00544,4020.07,2026-08-17,SUCCESS,53.91,9.7,0.0,3956.46,SET000094,3956.46,0.0,MATCHED
TXN000099,ORD000099,CUST00083,21298.43,2026-08-03,SUCCESS,289.77,52.16,0.0,20956.5,SET000095,20956.5,0.0,MATCHED
TXN000100,ORD000100,CUST00610,1792.23,2026-08-08,SUCCESS,22.03,3.97,0.0,1766.23,SET000096,1766.23,0.0,MATCHED
TXN000101,ORD000101,CUST00414,3085.18,2026-08-19,SUCCESS,75.77,13.64,0.0,2995.77,SET000097,2995.77,0.0,MATCHED
TXN000102,ORD000102,CUST00253,14515.08,2026-08-02,SUCCESS,343.22,61.78,0.0,14110.08,SET000098,14110.08,0.0,MATCHED
TXN000103,ORD000103,CUST00635,2141.39,2026-08-22,SUCCESS,31.99,5.76,0.0,2103.64,SET000099,2103.64,0.0,MATCHED
TXN000104,ORD000104,CUST00598,14174.15,2026-08-11,SUCCESS,257.03,46.27,0.0,13870.85,SET000100,13870.85,0.0,MATCHED
TXN000105,ORD000105,CUST00268,5186.05,2026-08-23,SUCCESS,67.94,12.23,0.0,5105.88,SET000101,5105.88,0.0,MATCHED
TXN000106,ORD000106,CUST00322,6043.28,2026-08-13,SUCCESS,72.99,13.14,0.0,5957.15,SET000102,5957.15,0.0,MATCHED
TXN000107,ORD000107,CUST00135,16825.09,2026-08-10,SUCCESS,304.88,54.88,0.0,16465.33,SET000103,16465.33,0.0,MATCHED
TXN000108,ORD000108,CUST00469,7972.81,2026-08-25,SUCCESS,175.41,31.57,0.0,7765.83,SET000104,7765.83,0.0,MATCHED
TXN000109,ORD000109,CUST00075,331.95,2026-08-20,SUCCESS,7.61,1.37,0.0,322.97,SET000105,322.97,0.0,MATCHED
TXN000110,ORD000110,CUST00577,24902.8,2026-08-03,SUCCESS,364.45,65.6,0.0,24472.75,SET000106,24472.75,0.0,MATCHED
TXN000111,ORD000111,CUST00551,5407.54,2026-08-09,SUCCESS,111.27,20.03,4886.2,390.04,SET000107,390.04,0.0,MATCHED
TXN000112,ORD000112,CUST00136,23338.16,2026-08-03,SUCCESS,416.75,75.02,0.0,22846.39,SET000108,22846.39,0.0,MATCHED
TXN000113,ORD000113,CUST00251,9301.22,2026-08-06,SUCCESS,111.88,20.14,0.0,8071.33,SET000109,9169.2,1097.87,UNDER_SETTLED
TXN000114,ORD000114,CUST00449,20860.25,2026-08-23,SUCCESS,520.16,93.63,0.0,20246.46,SET000110,20246.46,0.0,MATCHED
TXN000115,ORD000115,CUST00310,15330.78,2026-08-26,SUCCESS,377.7,67.99,0.0,14885.09,SET000111,14885.09,0.0,MATCHED
TXN000116,ORD000116,CUST00670,13270.62,2026-08-22,SUCCESS,161.6,29.09,0.0,13079.93,SET000112,13079.93,0.0,MATCHED
TXN000117,ORD000117,CUST00568,7554.53,2026-08-22,SUCCESS,181.27,32.63,0.0,7340.63,SET000113,7340.63,0.0,MATCHED
TXN000118,ORD000118,CUST00107,23479.36,2026-08-05,SUCCESS,557.79,100.4,8434.01,14387.16,SET000114,14387.16,0.0,MATCHED
TXN000119,ORD000119,CUST00271,2974.17,2026-08-04,SUCCESS,43.91,7.9,0.0,2922.36,SET000115,2922.36,0.0,MATCHED
TXN000120,ORD000120,CUST00567,3970.65,2026-08-10,SUCCESS,72.9,13.12,0.0,3884.63,SET000116,3884.63,0.0,MATCHED
TXN000121,ORD000121,CUST00620,5344.68,2026-08-11,SUCCESS,129.5,23.31,0.0,5191.87,SET000117,5191.87,0.0,MATCHED
TXN000122,ORD000122,CUST00209,17218.68,2026-08-09,SUCCESS,202.76,36.5,0.0,16979.42,SET000118,16979.42,0.0,MATCHED
TXN000123,ORD000123,CUST00518,12264.44,2026-08-02,SUCCESS,181.07,32.59,0.0,12050.78,SET000119,12050.78,0.0,MATCHED
TXN000124,ORD000124,CUST00095,15893.68,2026-08-09,SUCCESS,368.65,66.36,0.0,15458.67,SET000120,15458.67,0.0,MATCHED
TXN000125,ORD000125,CUST00046,188.29,2026-08-25,SUCCESS,3.94,0.71,0.0,183.64,SET000121,183.64,0.0,MATCHED
TXN000126,ORD000126,CUST00134,15964.12,2026-08-09,SUCCESS,342.93,61.73,0.0,15559.46,SET000122,15559.46,0.0,MATCHED
TXN000127,ORD000127,CUST00166,18556.65,2026-08-18,SUCCESS,430.55,77.5,0.0,18048.6,SET000123,18048.6,0.0,MATCHED
TXN000128,ORD000128,CUST00438,14066.58,2026-08-04,SUCCESS,228.03,41.05,0.0,13797.5,SET000124,13797.5,0.0,MATCHED
TXN000129,ORD000129,CUST00078,23631.77,2026-08-23,SUCCESS,382.1,68.78,0.0,23180.89,SET000125,23180.89,0.0,MATCHED
TXN000130,ORD000130,CUST00153,13685.2,2026-08-12,SUCCESS,227.79,41.0,0.0,13416.41,SET000126,13416.41,0.0,MATCHED
TXN000131,ORD000131,CUST00597,13857.87,2026-08-14,SUCCESS,332.68,59.88,0.0,13465.31,SET000127,13465.31,0.0,MATCHED
TXN000132,ORD000132,CUST00131,1141.54,2026-08-12,SUCCESS,26.73,4.81,0.0,1110.0,SET000128,1110.0,0.0,MATCHED
TXN000133,ORD000133,CUST00041,22483.22,2026-08-07,SUCCESS,539.57,97.12,0.0,21846.53,SET000129,21846.53,0.0,MATCHED
TXN000134,ORD000134,CUST00699,6313.29,2026-08-04,SUCCESS,89.06,16.03,0.0,6208.2,SET000130,6208.2,0.0,MATCHED
TXN000135,ORD000135,CUST00363,19524.89,2026-08-14,SUCCESS,423.43,76.22,0.0,19025.24,SET000131,19025.24,0.0,MATCHED
TXN000136,ORD000136,CUST00636,18761.99,2026-08-08,SUCCESS,217.67,39.18,0.0,18505.14,SET000132,18505.14,0.0,MATCHED
TXN000137,ORD000137,CUST00167,24407.53,2026-08-26,SUCCESS,311.71,56.11,0.0,24039.71,SET000133,24039.71,0.0,MATCHED
TXN000138,ORD000138,CUST00182,22047.26,2026-08-01,SUCCESS,472.62,85.07,0.0,21489.57,SET000134,21489.57,0.0,MATCHED
TXN000139,ORD000139,CUST00184,18440.46,2026-08-11,SUCCESS,353.68,63.66,0.0,18023.12,SET000135,18023.12,0.0,MATCHED
TXN000140,ORD000140,CUST00422,20075.65,2026-08-24,SUCCESS,281.12,50.6,0.0,18275.53,SET000136,19743.93,1468.4,UNDER_SETTLED
TXN000141,ORD000141,CUST00255,6743.46,2026-08-26,SUCCESS,124.79,22.46,0.0,6596.21,SET000137,6596.21,0.0,MATCHED
TXN000142,ORD000142,CUST00111,9625.29,2026-08-02,SUCCESS,129.59,23.33,0.0,9472.37,SET000138,9472.37,0.0,MATCHED
TXN000143,ORD000143,CUST00482,5638.6,2026-08-15,SUCCESS,76.02,13.68,0.0,,,5548.9,,MISSING_SETTLEMENT
TXN000144,ORD000144,CUST00359,7699.25,2026-08-26,SUCCESS,156.38,28.15,0.0,7514.72,SET000139,7514.72,0.0,MATCHED
TXN000145,ORD000145,CUST00234,5650.8,2026-08-22,SUCCESS,86.96,15.65,0.0,5548.19,SET000140,5548.19,0.0,MATCHED
TXN000146,ORD000146,CUST00198,10021.8,2026-08-09,SUCCESS,203.66,36.66,0.0,9781.48,SET000141,9781.48,0.0,MATCHED
TXN000147,ORD000147,CUST00072,24175.54,2026-08-09,SUCCESS,414.59,74.63,0.0,23686.32,SET000142,23686.32,0.0,MATCHED
TXN000148,ORD000148,CUST00360,16072.9,2026-08-13,SUCCESS,281.84,50.73,0.0,15740.33,SET000143,15740.33,0.0,MATCHED
TXN000149,ORD000149,CUST00696,24530.63,2026-08-18,SUCCESS,467.82,84.21,0.0,23978.6,SET000144,23978.6,0.0,MATCHED
TXN000150,ORD000150,CUST00340,23487.0,2026-08-04,SUCCESS,485.72,87.43,2731.95,20181.9,SET000145,20181.9,0.0,MATCHED
TXN000151,ORD000151,CUST00268,4546.34,2026-08-09,SUCCESS,70.97,12.77,0.0,4462.6,SET000146,4462.6,0.0,MATCHED
TXN000152,ORD000152,CUST00040,2799.22,2026-08-14,SUCCESS,63.77,11.48,0.0,2723.97,SET000147,2723.97,0.0,MATCHED
TXN000153,ORD000153,CUST00354,18240.77,2026-08-11,SUCCESS,316.87,57.04,0.0,17866.86,SET000148,17866.86,0.0,MATCHED
TXN000154,ORD000154,CUST00447,15194.6,2026-08-17,SUCCESS,183.29,32.99,0.0,14978.32,SET000149,14978.32,0.0,MATCHED
TXN000155,ORD000155,CUST00119,9691.37,2026-08-19,SUCCESS,125.01,22.5,0.0,9543.86,SET000150,9543.86,0.0,MATCHED
TXN000156,ORD000156,CUST00195,6442.59,2026-08-23,SUCCESS,67.54,12.16,1013.41,5349.48,SET000151,5349.48,0.0,MATCHED
TXN000157,ORD000157,CUST00447,142.11,2026-08-26,SUCCESS,3.05,0.55,0.0,138.51,SET000152,138.51,0.0,MATCHED
TXN000158,ORD000158,CUST00552,17202.74,2026-08-24,SUCCESS,175.9,31.66,0.0,16995.18,SET000153,16995.18,0.0,MATCHED
TXN000159,ORD000159,CUST00687,5006.17,2026-08-14,SUCCESS,70.33,12.66,0.0,4923.18,SET000154,4923.18,0.0,MATCHED
TXN000160,ORD000160,CUST00072,23726.97,2026-08-11,SUCCESS,384.27,69.17,0.0,23273.53,SET000155,23273.53,0.0,MATCHED
TXN000161,ORD000161,CUST00639,7916.5,2026-08-04,SUCCESS,167.32,30.12,0.0,7719.06,SET000156,7719.06,0.0,MATCHED
TXN000162,ORD000162,CUST00308,12727.35,2026-08-22,SUCCESS,315.94,56.87,0.0,12354.54,SET000157,12354.54,0.0,MATCHED
TXN000163,ORD000163,CUST00419,8221.95,2026-08-23,SUCCESS,175.68,31.62,0.0,8014.65,SET000158,8014.65,0.0,MATCHED
TXN000164,ORD000164,CUST00303,13904.87,2026-08-07,SUCCESS,152.84,27.51,12374.53,1349.99,SET000159,1349.99,0.0,MATCHED
TXN000165,ORD000165,CUST00431,16656.74,2026-08-13,SUCCESS,398.21,71.68,0.0,16186.85,SET000160,16186.85,0.0,MATCHED
TXN000166,ORD000166,CUST00694,18728.55,2026-08-06,SUCCESS,464.18,83.55,0.0,18180.82,SET000161,18180.82,0.0,MATCHED
TXN000167,ORD000167,CUST00631,14270.72,2026-08-13,SUCCESS,328.33,59.1,0.0,13883.29,SET000162,13883.29,0.0,MATCHED
TXN000168,ORD000168,CUST00562,20859.76,2026-08-10,SUCCESS,361.9,65.14,0.0,20432.72,SET000163,20432.72,0.0,MATCHED
TXN000169,ORD000169,CUST00294,5333.55,2026-08-26,SUCCESS,79.33,14.28,0.0,5239.94,SET000164,5239.94,0.0,MATCHED
TXN000170,ORD000170,CUST00594,15205.87,2026-08-11,SUCCESS,256.42,46.16,0.0,14903.29,SET000165,14903.29,0.0,MATCHED
TXN000171,ORD000171,CUST00477,11100.47,2026-08-22,SUCCESS,152.1,27.38,0.0,10920.99,SET000166,10920.99,0.0,MATCHED
TXN000172,ORD000172,CUST00219,12828.23,2026-08-26,SUCCESS,206.19,37.11,0.0,12584.93,SET000167,12584.93,0.0,MATCHED
TXN000173,ORD000173,CUST00174,16505.38,2026-08-10,SUCCESS,175.41,31.57,0.0,16298.4,SET000168,16298.4,0.0,MATCHED
TXN000174,ORD000174,CUST00528,16629.96,2026-08-20,SUCCESS,349.73,62.95,0.0,16217.28,SET000169,16217.28,0.0,MATCHED
TXN000175,ORD000175,CUST00344,2425.34,2026-08-25,SUCCESS,38.09,6.86,0.0,2380.39,SET000170,2380.39,0.0,MATCHED
TXN000176,ORD000176,CUST00241,16852.61,2026-08-08,SUCCESS,247.62,44.57,0.0,16560.42,SET000171,16560.42,0.0,MATCHED
TXN000177,ORD000177,CUST00204,3769.11,2026-08-02,SUCCESS,72.26,13.01,0.0,3683.84,SET000172,3683.84,0.0,MATCHED
TXN000178,ORD000178,CUST00251,24600.01,2026-08-20,SUCCESS,519.97,93.59,0.0,23986.45,SET000173,23986.45,0.0,MATCHED
TXN000179,ORD000179,CUST00075,11439.86,2026-08-21,SUCCESS,216.29,38.93,0.0,11184.64,SET000174,11184.64,0.0,MATCHED
TXN000180,ORD000180,CUST00590,4941.44,2026-08-23,SUCCESS,88.35,15.9,0.0,4837.19,SET000175,4837.19,0.0,MATCHED
TXN000181,ORD000181,CUST00394,12409.99,2026-08-08,SUCCESS,287.13,51.68,2418.33,9652.85,SET000176,9652.85,0.0,MATCHED
TXN000182,ORD000182,CUST00152,16435.84,2026-08-01,SUCCESS,358.36,64.5,0.0,16012.98,SET000177,16012.98,0.0,MATCHED
TXN000183,ORD000183,CUST00110,19482.67,2026-08-08,SUCCESS,346.98,62.46,0.0,19073.23,SET000178,19073.23,0.0,MATCHED
TXN000184,ORD000184,CUST00181,20122.34,2026-08-23,SUCCESS,337.54,60.76,0.0,19724.04,SET000179,19724.04,0.0,MATCHED
TXN000185,ORD000185,CUST00531,11667.29,2026-08-18,SUCCESS,261.41,47.05,0.0,11358.83,SET000180,11358.83,0.0,MATCHED
TXN000186,ORD000186,CUST00256,22945.0,2026-08-04,SUCCESS,244.05,43.93,0.0,22657.02,SET000181,22657.02,0.0,MATCHED
