transaction_id,gateway_fee,tax_on_fee
TXN000145,86.96,15.65
TXN000146,203.66,36.66
TXN000147,414.59,74.63
TXN000148,281.84,50.73
TXN000149,467.82,84.21
TXN000150,485.72,87.43
TXN000151,70.97,12.77
TXN000152,63.77,11.48
TXN000153,316.87,57.04
TXN000154,183.29,32.99
TXN000155,125.01,22.5
TXN000156,67.54,12.16
TXN000157,3.05,0.55
TXN000158,175.9,31.66
TXN000159,70.33,12.66
TXN000160,384.27,69.17
TXN000161,167.32,30.12
TXN000162,315.94,56.87
TXN000163,175.68,31.62
TXN000164,152.84,27.51
TXN000165,398.21,71.68
TXN000166,464.18,83.55
TXN000167,328.33,59.1
TXN000168,361.9,65.14
TXN000169,79.33,14.28
TXN000170,256.42,46.16
TXN000171,152.1,27.38
TXN000172,206.19,37.11
TXN000173,175.41,31.57
TXN000174,349.73,62.95
TXN000175,38.09,6.86
TXN000176,247.62,44.57
TXN000177,72.26,13.01
TXN000178,519.97,93.59
TXN000179,216.29,38.93
TXN000180,88.35,15.9
TXN000181,287.13,51.68
TXN000182,358.36,64.5
TXN000183,346.98,62.46
TXN000184,337.54,60.76
TXN000185,261.41,47.05
TXN000186,244.05,43.93
TXN000187,85.29,15.35
TXN000188,236.93,42.65
TXN000189,127.48,22.95
TXN000190,322.88,58.12
TXN000191,196.99,35.46
TXN000192,398.14,71.67
TXN000193,220.03,39.61
TXN000194,225.66,40.62
TXN000195,174.8,31.46
TXN000196,176.52,31.77
TXN000197,86.52,15.57
TXN000198,500.65,90.12
TXN000199,65.24,11.74
TXN000200,289.0,52.02
TXN000201,196.75,35.41
TXN000202,113.08,20.35
TXN000203,173.96,31.31
TXN000204,287.04,51.67
TXN000205,214.86,38.67
TXN000206,126.41,22.75
TXN000207,281.37,50.65
TXN000208,234.15,42.15
TXN000209,120.62,21.71
TXN000210,19.8,3.56
TXN000211,347.73,62.59
TXN000212,252.97,45.53
TXN000213,217.12,39.08
TXN000214,237.26,42.71
TXN000215,204.26,36.77
TXN000216,87.2,15.7
TXN000217,170.71,30.73
TXN000218,110.8,19.94
TXN000219,316.64,57.0
TXN000220,287.25,51.7
TXN000221,382.06,68.77
TXN000222,134.16,24.15
TXN000223,24.2,4.36
TXN000224,105.21,18.94
TXN000225,46.16,8.31
TXN000226,196.41,35.35
TXN000227,195.52,35.19
TXN000228,66.07,11.89
TXN000229,347.63,62.57
TXN000230,44.0,7.92
TXN000231,315.69,56.82
TXN000232,416.12,74.9
TXN000233,359.89,64.78
TXN000234,41.35,7.44
TXN000235,334.17,60.15
TXN000236,428.89,77.2
TXN000237,207.12,37.28
TXN000238,172.39,31.03
TXN000239,171.01,30.78
TXN000240,33.42,6.02
TXN000241,513.62,92.45
TXN000242,138.8,24.98
TXN000243,499.24,89.86
TXN000244,329.53,59.32
TXN000245,170.96,30.77
TXN000246,146.04,26.29
TXN000247,117.61,21.17
TXN000248,364.4,65.59
TXN000249,196.89,35.44
TXN000250,148.57,26.74
TXN000251,159.64,28.74
TXN000252,165.82,29.85
TXN000253,192.31,34.62
TXN000254,37.67,6.78
TXN000255,280.04,50.41
TXN000256,313.97,56.51
TXN000257,113.57,20.44
TXN000258,172.6,31.07
TXN000259,104.81,18.87
TXN000260,223.81,40.29
TXN000261,183.27,32.99
TXN000262,134.66,24.24
TXN000263,76.61,13.79
TXN000264,58.99,10.62
TXN000265,42.06,7.57
TXN000266,88.67,15.96
TXN000267,134.78,24.26
TXN000268,274.72,49.45
TXN000269,167.32,30.12
TXN000270,81.86,14.73
TXN000271,39.75,7.15
TXN000272,274.79,49.46
TXN000273,168.63,30.35
TXN000274,60.54,10.9
TXN000275,143.64,25.86
TXN000276,193.73,34.87
TXN000277,340.67,61.32
TXN000278,489.7,88.15
TXN000279,20.88,3.76
TXN000280,63.03,11.35
TXN000281,300.79,54.14
TXN000282,61.24,11.02
TXN000283,291.28,52.43
TXN000284,116.52,20.97
TXN000285,214.18,38.55
TXN000286,469.3,84.47
TXN000287,180.54,32.5
TXN000288,404.03,72.73
TXN000289,292.89,52.72
TXN000290,50.86,9.15
TXN000291,157.79,28.4
TXN000292,148.84,26.79
TXN000293,183.25,32.98
TXN000294,114.08,20.53
TXN000295,20.62,3.71
TXN000296,323.55,58.24
TXN000297,302.4,54.43
TXN000298,42.57,7.66
TXN000299,45.79,8.24
TXN000300,38.35,6.9
TXN000301,210.57,37.9
TXN000302,197.59,35.57
TXN000303,313.14,56.37
TXN000304,276.84,49.83
TXN000305,287.54,51.76
TXN000306,176.13,31.7
TXN000307,121.49,21.87
TXN000308,286.07,51.49
TXN000309,509.89,91.78
TXN000310,329.59,59.33
TXN000311,264.74,47.65
TXN000312,110.9,19.96
TXN000313,394.38,70.99
TXN000314,168.88,30.4
TXN000315,154.87,27.88
TXN000316,122.58,22.06
TXN000317,130.11,23.42
TXN000318,25.27,4.55
TXN000319,97.74,17.59
TXN000320,258.46,46.52
TXN000321,401.01,72.18
TXN000322,25.8,4.64
TXN000323,303.92,54.71
TXN000324,193.12,34.76
TXN000325,85.71,15.43
TXN000326,210.73,37.93
TXN000327,64.43,11.6
TXN000328,493.85,88.89
TXN000329,78.56,14.14
TXN000330,106.28,19.13
TXN000331,224.64,40.44
TXN000332,245.03,44.11
TXN000333,290.17,52.23
TXN000334,459.33,82.68
TXN000335,286.68,51.6
TXN000336,78.56,14.14
TXN000337,280.37,50.47
TXN000338,128.45,23.12
TXN000339,167.51,30.15
TXN000340,68.67,12.36
TXN000341,236.65,42.6
TXN000342,355.22,63.94
TXN000343,245.17,44.13
TXN000344,122.45,22.04
TXN000345,167.07,30.07
TXN000346,364.36,65.58
TXN000347,97.25,17.5
TXN000348,24.08,4.33
TXN000349,267.03,48.07
TXN000350,202.68,36.48
TXN000351,471.81,84.93
TXN000352,33.85,6.09
TXN000353,274.87,49.48
TXN000354,197.38,35.53
TXN000355,272.58,49.06
TXN000356,487.15,87.69
TXN000357,464.4,83.59
TXN000358,342.98,61.74
TXN000359,41.34,7.44
TXN000360,370.24,66.64
TXN000361,304.85,54.87
TXN000362,510.23,91.84
TXN000363,32.56,5.86
TXN000364,374.7,67.45
TXN000365,237.31,42.72
TXN000366,285.72,51.43
TXN000367,89.68,16.14
TXN000368,28.05,5.05
TXN000369,107.3,19.31
TXN000370,77.75,13.99
TXN000371,209.08,37.63
TXN000372,78.15,14.07
TXN000373,285.89,51.46
TXN000374,123.65,22.26
TXN000375,129.35,23.28
TXN000376,269.2,48.46
TXN000377,344.08,61.93
TXN000378,416.58,74.98
TXN000379,157.68,28.38
TXN000380,79.02,14.22
TXN000381,284.06,51.13
TXN000382,484.64,87.24
TXN000383,135.96,24.47
TXN000384,267.57,48.16
TXN000385,10.24,1.84
TXN000386,131.26,23.63
TXN000387,523.1,94.16
TXN000388,443.28,79.79
TXN000389,313.13,56.36
TXN000390,234.77,42.26
TXN000391,177.82,32.01
TXN000392,276.4,49.75
TXN000393,43.98,7.92
TXN000394,14.67,2.64
TXN000395,15.62,2.81
TXN000396,56.88,10.24
TXN000397,247.79,44.6
TXN000398,49.28,8.87
TXN000399,155.6,28.01
TXN000400,141.5,25.47
TXN000401,404.94,72.89
TXN000402,278.75,50.17
TXN000403,314.45,56.6
TXN000404,188.11,33.86
TXN000405,158.74,28.57
TXN000406,7.82,1.41
TXN000407,146.84,26.43
TXN000408,158.1,28.46
TXN000409,493.46,88.82
TXN000410,105.74,19.03
TXN000411,478.47,86.12
TXN000412,278.1,50.06
TXN000413,38.63,6.95
TXN000414,363.25,65.38
TXN000415,29.59,5.33
TXN000416,501.73,90.31
TXN000417,71.3,12.83
TXN000418,204.04,36.73
TXN000419,400.97,72.17
TXN000420,218.15,39.27
TXN000421,394.99,71.1
TXN000422,209.88,37.78
TXN000423,563.23,101.38
TXN000424,351.05,63.19
TXN000425,211.33,38.04
TXN000426,29.1,5.24
TXN000427,232.22,41.8
TXN000428,17.19,3.09
TXN000429,431.12,77.6
TXN000430,330.15,59.43
TXN000431,219.85,39.57
TXN000432,367.5,66.15
TXN000433,289.18,52.05
TXN000434,485.47,87.38
TXN000435,217.77,39.2
TXN000436,249.8,44.96
TXN000437,2.41,0.43
TXN000438,200.39,36.07
TXN000439,47.14,8.49
TXN000440,5.53,1.0
TXN000441,180.69,32.52
TXN000442,94.61,17.03
TXN000443,135.02,24.3
TXN000444,231.33,41.64
TXN000445,228.11,41.06
TXN000446,165.64,29.82
TXN000447,277.76,50.0
TXN000448,112.46,20.24
TXN000449,19.57,3.52
TXN000450,220.34,39.66
TXN000451,254.19,45.75
TXN000452,307.52,55.35
TXN000453,41.99,7.56
TXN000454,300.38,54.07
TXN000455,268.93,48.41
TXN000456,221.69,39.9
TXN000457,181.36,32.64
TXN000458,363.99,65.52
TXN000459,363.37,65.41
TXN000460,131.46,23.66
TXN000461,92.29,16.61
TXN000462,171.48,30.87
TXN000463,136.06,24.49
TXN000464,178.43,32.12
TXN000465,33.47,6.02
TXN000466,244.67,44.04
TXN000467,416.22,74.92
TXN000468,282.95,50.93
TXN000469,122.02,21.96
TXN000470,198.23,35.68
TXN000471,449.37,80.89
TXN000472,485.79,87.44
TXN000473,159.43,28.7
TXN000474,132.8,23.9
TXN000475,121.27,21.83
TXN000476,359.24,64.66
TXN000477,228.63,41.15
TXN000478,448.29,80.69
TXN000479,365.92,65.87
TXN000480,12.83,2.31
TXN000481,13.82,2.49
TXN000482,467.08,84.07
TXN000483,95.36,17.16
TXN000484,279.64,50.34
TXN000485,249.97,44.99
TXN000486,249.48,44.91
TXN000487,241.86,43.53
TXN000488,179.34,32.28
TXN000489,460.67,82.92
TXN000490,35.18,6.33
TXN000491,82.38,14.83
TXN000492,337.26,60.71
TXN000493,362.02,65.16
TXN000494,258.08,46.45
TXN000495,317.47,57.14
TXN000496,112.95,20.33
TXN000497,291.11,52.4
TXN000498,255.21,45.94
TXN000499,168.21,30.28
TXN000500,3.66,0.66
TXN000501,413.32,74.4
TXN000502,139.32,25.08
TXN000503,148.71,26.77
TXN000504,38.29,6.89
TXN000505,279.55,50.32
TXN000506,41.59,7.49
TXN000507,163.2,29.38
TXN000508,425.76,76.64
TXN000509,314.68,56.64
TXN000510,188.92,34.01
TXN000511,9.92,1.79
TXN000512,324.89,58.48
TXN000513,402.05,72.37
TXN000514,199.94,35.99
TXN000515,269.42,48.5
TXN000516,32.43,5.84
TXN000517,84.88,15.28
TXN000518,44.46,8.0
TXN000519,251.13,45.2
TXN000520,192.45,34.64
TXN000521,98.9,17.8
TXN000522,109.31,19.68
TXN000523,345.72,62.23
TXN000524,61.09,11.0
TXN000525,247.32,44.52
TXN000526,212.43,38.24
TXN000527,553.82,99.69
TXN000528,296.3,53.33
TXN000529,374.01,67.32
TXN000530,72.86,13.11
TXN000531,188.26,33.89
TXN000532,271.71,48.91
TXN000533,43.48,7.83
TXN000534,13.1,2.36
TXN000535,48.93,8.81
TXN000536,164.48,29.61
TXN000537,169.24,30.46
TXN000538,250.95,45.17
TXN000539,352.26,63.41
TXN000540,187.31,33.72
TXN000541,197.1,35.48
TXN000542,488.83,87.99
TXN000543,183.87,33.1
TXN000544,394.36,70.98
TXN000545,305.73,55.03
TXN000546,220.98,39.78
TXN000547,200.86,36.15
TXN000548,149.92,26.99
TXN000549,197.87,35.62
TXN000550,30.02,5.4
TXN000551,128.93,23.21
TXN000552,382.2,68.8
TXN000553,156.83,28.23
TXN000554,46.85,8.43
TXN000555,489.3,88.07
TXN000556,145.42,26.18
TXN000557,144.88,26.08
TXN000558,469.52,84.51
TXN000559,256.41,46.15
TXN000560,58.61,10.55
TXN000561,210.83,37.95
TXN000562,192.73,34.69
TXN000563,359.34,64.68
TXN000564,65.1,11.72
TXN000565,20.46,3.68
TXN000566,315.94,56.87
TXN000567,16.7,3.01
TXN000568,40.07,7.21
TXN000569,59.67,10.74
TXN000570,314.58,56.62
TXN000571,21.66,3.9
TXN000572,194.54,35.02
TXN000573,147.85,26.61
TXN000574,132.23,23.8
TXN000575,371.53,66.88
TXN000576,518.17,93.27
TXN000577,390.51,70.29
TXN000578,156.88,28.24
TXN000579,259.18,46.65
TXN000580,325.29,58.55
TXN000581,52.38,9.43
TXN000582,252.9,45.52
TXN000583,367.36,66.12
TXN000584,387.06,69.67
TXN000585,380.83,68.55
TXN000586,387.7,69.79
TXN000587,30.57,5.5
TXN000588,348.92,62.81
TXN000589,34.04,6.13
TXN000590,134.94,24.29
TXN000591,70.08,12.61
TXN000592,524.09,94.34
TXN000593,397.12,71.48
TXN000594,87.02,15.66
TXN000595,210.39,37.87
TXN000596,157.86,28.41
TXN000597,134.76,24.26
TXN000598,406.76,73.22
TXN000599,176.09,31.7
TXN000600,149.55,26.92
TXN000601,68.04,12.25
TXN000602,225.44,40.58
TXN000603,242.9,43.72
TXN000604,217.79,39.2
TXN000605,160.54,28.9
TXN000606,169.41,30.49
TXN000607,78.06,14.05
TXN000608,166.77,30.02
TXN000609,420.56,75.7
TXN000610,359.8,64.76
TXN000611,10.16,1.83
TXN000612,244.17,43.95
TXN000613,239.22,43.06
TXN000614,165.62,29.81
TXN000615,293.92,52.91
TXN000616,417.86,75.21
TXN000617,16.32,2.94
TXN000618,356.76,64.22
TXN000619,396.34,71.34
TXN000620,84.39,15.19
TXN000621,277.99,50.04
TXN000622,182.75,32.89
TXN000623,410.38,73.87
TXN000624,266.07,47.89
TXN000625,74.95,13.49
TXN000626,83.68,15.06
TXN000627,440.91,79.36
TXN000628,38.81,6.99
TXN000629,466.53,83.98
TXN000630,553.9,99.7
TXN000631,602.68,108.48
TXN000632,200.5,36.09
TXN000633,114.43,20.6
TXN000634,23.08,4.15
TXN000635,319.46,57.5
TXN000636,23.71,4.27
TXN000637,132.11,23.78
TXN000638,89.77,16.16
TXN000639,274.17,49.35
TXN000640,172.15,30.99
TXN000641,312.53,56.26
TXN000642,43.25,7.79
TXN000643,134.34,24.18
TXN000644,44.07,7.93
TXN000645,321.73,57.91
TXN000646,20.95,3.77
TXN000647,331.89,59.74
TXN000648,170.41,30.67
TXN000649,258.42,46.52
TXN000650,498.41,89.71
TXN000651,311.63,56.09
TXN000652,324.23,58.36
TXN000653,357.6,64.37
TXN000654,10.69,1.92
TXN000655,136.8,24.62
TXN000656,157.8,28.4
TXN000657,115.61,20.81
TXN000658,363.32,65.4
TXN000659,58.2,10.48
TXN000660,48.04,8.65
TXN000661,426.27,76.73
TXN000662,303.28,54.59
TXN000663,94.28,16.97
TXN000664,338.04,60.85
TXN000665,394.51,71.01
TXN000666,85.88,15.46
TXN000667,81.29,14.63
TXN000668,67.37,12.13
TXN000669,159.77,28.76
TXN000670,267.3,48.11
TXN000671,217.3,39.11
TXN000672,93.52,16.83
TXN000673,187.49,33.75
TXN000674,471.1,84.8
TXN000675,248.3,44.69
TXN000676,131.96,23.75
TXN000677,109.51,19.71
TXN000678,302.61,54.47
TXN000679,133.37,24.01
TXN000680,217.11,39.08
TXN000681,91.41,16.45
TXN000682,121.32,21.84
TXN000683,434.1,78.14
TXN000684,274.88,49.48
TXN000685,70.74,12.73
TXN000686,306.89,55.24
TXN000687,65.1,11.72
TXN000688,49.15,8.85
TXN000689,103.58,18.64
TXN000690,495.75,89.23
TXN000691,15.17,2.73
TXN000692,116.67,21.0
TXN000693,260.82,46.95
TXN000694,269.47,48.5
TXN000695,99.23,17.86
TXN000696,102.9,18.52
TXN000697,146.85,26.43
TXN000698,53.13,9.56
TXN000699,245.14,44.13
TXN000700,55.81,10.05
TXN000701,360.9,64.96
TXN000702,71.59,12.89
TXN000703,165.36,29.76
TXN000704,146.6,26.39
TXN000705,100.25,18.04
TXN000706,106.38,19.15
TXN000707,222.76,40.1
TXN000708,497.05,89.47
TXN000709,86.82,15.63
TXN000710,390.85,70.35
TXN000711,452.62,81.47
TXN000712,40.1,7.22
TXN000713,139.86,25.17
TXN000714,337.17,60.69
TXN000715,72.32,13.02
TXN000716,402.75,72.49
TXN000717,5.08,0.91
TXN000718,69.31,12.48
TXN000719,467.03,84.07
TXN000720,203.94,36.71
TXN000721,52.51,9.45
TXN000722,45.89,8.26
TXN000723,374.28,67.37
TXN000724,414.85,74.67
TXN000725,401.7,72.31
TXN000726,472.87,85.12
TXN000727,537.11,96.68
TXN000728,75.97,13.67
TXN000729,175.81,31.65
TXN000730,40.3,7.25
TXN000731,258.22,46.48
TXN000732,354.46,63.8
TXN000733,503.02,90.54
TXN000734,209.91,37.78
TXN000735,312.78,56.3
TXN000736,251.49,45.27
TXN000737,97.77,17.6
TXN000738,125.73,22.63
TXN000739,297.87,53.62
TXN000740,9.7,1.75
TXN000741,440.42,79.28
TXN000742,290.99,52.38
TXN000743,328.81,59.19
TXN000744,160.46,28.88
TXN000745,43.34,7.8
TXN000746,10.24,1.84
TXN000747,80.95,14.57
TXN000748,139.93,25.19
TXN000749,147.03,26.47
TXN000750,296.88,53.44
TXN000751,183.02,32.94
TXN000752,160.06,28.81
TXN000753,317.45,57.14
TXN000754,229.17,41.25
TXN000755,308.74,55.57
TXN000756,390.99,70.38
TXN000757,299.26,53.87
TXN000758,145.32,26.16
TXN000759,277.8,50.0
TXN000760,403.29,72.59
TXN000761,95.52,17.19
TXN000762,463.39,83.41
TXN000763,170.74,30.73
TXN000764,251.95,45.35
TXN000765,584.99,105.3
TXN000766,171.87,30.94
TXN000767,178.28,32.09
TXN000768,89.5,16.11
TXN000769,87.26,15.71
TXN000770,560.97,100.97
TXN000771,68.89,12.4
TXN000772,144.43,26.0
TXN000773,320.25,57.64
TXN000774,96.75,17.41
TXN000775,196.04,35.29
TXN000776,367.65,66.18
TXN000777,358.16,64.47
TXN000778,203.31,36.6
TXN000779,181.07,32.59
TXN000780,175.36,31.56
TXN000781,357.46,64.34
TXN000782,215.79,38.84
TXN000783,248.97,44.81
TXN000784,537.0,96.66
TXN000785,348.27,62.69
TXN000786,78.71,14.17
TXN000787,381.07,68.59
TXN000788,340.8,61.34
TXN000789,137.64,24.78
TXN000790,166.77,30.02
TXN000791,204.29,36.77
TXN000792,101.33,18.24
TXN000793,349.71,62.95
TXN000794,5.98,1.08
TXN000795,279.77,50.36
TXN000796,105.89,19.06
TXN000797,428.97,77.21
TXN000798,26.1,4.7
TXN000799,52.15,9.39
TXN000800,151.49,27.27
TXN000801,90.72,16.33
TXN000802,314.88,56.68
TXN000803,342.41,61.63
TXN000804,80.89,14.56
TXN000805,32.29,5.81
TXN000806,185.7,33.43
TXN000807,460.99,82.98
TXN000808,241.98,43.56
TXN000809,189.67,34.14
TXN000810,564.21,101.56
TXN000811,212.8,38.3
TXN000812,185.37,33.37
TXN000813,456.86,82.23
TXN000814,358.62,64.55
TXN000815,281.86,50.73
TXN000816,298.78,53.78
TXN000817,44.4,7.99
TXN000818,35.67,6.42
TXN000819,92.93,16.73
TXN000820,42.18,7.59
TXN000821,72.8,13.1
TXN000822,273.29,49.19
TXN000823,348.69,62.76
TXN000824,238.39,42.91
TXN000825,36.94,6.65
TXN000826,310.63,55.91
TXN000827,201.45,36.26
TXN000828,232.13,41.78
TXN000829,169.1,30.44
TXN000830,605.99,109.08
TXN000831,10.11,1.82
TXN000832,346.83,62.43
TXN000833,597.18,107.49
TXN000834,105.61,19.01
TXN000835,367.52,66.15
TXN000836,45.11,8.12
TXN000837,67.26,12.11
TXN000838,57.48,10.35
TXN000839,140.51,25.29
TXN000840,329.23,59.26
TXN000841,314.74,56.65
TXN000842,368.0,66.24
TXN000843,223.78,40.28
TXN000844,225.14,40.53
TXN000845,73.76,13.28
TXN000846,10.17,1.83
TXN000847,300.4,54.07
TXN000848,110.02,19.8
TXN000849,11.33,2.04
TXN000850,227.13,40.88
TXN000851,385.55,69.4
TXN000852,112.14,20.19
TXN000853,62.23,11.2
TXN000854,223.42,40.22
TXN000855,145.6,26.21
TXN000856,299.3,53.87
TXN000857,394.74,71.05
TXN000858,126.17,22.71
TXN000859,27.08,4.87
TXN000860,391.2,70.42
TXN000861,131.32,23.64
TXN000862,182.3,32.81
TXN000863,175.33,31.56
TXN000864,40.61,7.31
TXN000865,222.33,40.02
TXN000866,469.73,84.55
TXN000867,403.47,72.62
TXN000868,175.1,31.52
TXN000869,268.21,48.28
TXN000870,149.07,26.83
TXN000871,25.31,4.56
TXN000872,44.9,8.08
TXN000873,33.02,5.94
TXN000874,160.03,28.81
TXN000875,58.02,10.44
TXN000876,359.21,64.66
TXN000877,205.45,36.98
TXN000878,568.82,102.39
TXN000879,250.45,45.08
TXN000880,383.66,69.06
TXN000881,273.48,49.23
TXN000882,221.77,39.92
TXN000883,148.84,26.79
TXN000884,139.94,25.19
TXN000885,198.15,35.67
TXN000886,216.75,39.02
TXN000887,32.1,5.78
TXN000888,359.67,64.74
TXN000889,207.76,37.4
TXN000890,163.57,29.44
TXN000891,8.8,1.58
TXN000892,319.27,57.47
TXN000893,51.84,9.33
TXN000894,210.91,37.96
TXN000895,226.41,40.75
TXN000896,144.29,25.97
TXN000897,457.95,82.43
TXN000898,370.15,66.63
TXN000899,53.29,9.59
TXN000900,115.37,20.77
TXN000901,446.14,80.31
TXN000902,253.17,45.57
TXN000903,29.49,5.31
TXN000904,77.15,13.89
TXN000905,38.47,6.92
TXN000906,104.8,18.86
TXN000907,24.13,4.34
TXN000908,275.84,49.65
TXN000909,148.42,26.72
TXN000910,224.52,40.41
TXN000911,271.55,48.88
TXN000912,447.27,80.51
TXN000913,337.36,60.72
TXN000914,481.85,86.73
TXN000915,243.61,43.85
TXN000916,70.15,12.63
TXN000917,145.01,26.1
TXN000918,381.7,68.71
TXN000919,519.67,93.54
TXN000920,63.0,11.34
TXN000921,130.98,23.58
TXN000922,250.29,45.05
TXN000923,30.82,5.55
TXN000924,157.16,28.29
TXN000925,6.63,1.19
TXN000926,292.38,52.63
TXN000927,318.87,57.4
TXN000928,494.85,89.07
TXN000929,115.81,20.85
TXN000930,243.4,43.81
TXN000931,224.43,40.4
TXN000932,276.94,49.85
TXN000933,414.5,74.61
TXN000934,388.99,70.02
TXN000935,453.29,81.59
TXN000936,445.02,80.1
TXN000937,149.41,26.89
TXN000938,215.37,38.77
TXN000939,168.99,30.42
TXN000940,479.84,86.37
TXN000941,243.95,43.91
TXN000942,55.05,9.91
TXN000943,130.58,23.5
TXN000944,240.4,43.27
TXN000945,11.34,2.04
TXN000946,144.87,26.08
TXN000947,422.51,76.05
TXN000948,194.68,35.04
TXN000949,34.46,6.2
TXN000950,427.73,76.99
TXN000951,38.77,6.98
TXN000952,236.82,42.63
TXN000953,399.14,71.85
TXN000954,54.76,9.86
TXN000955,158.07,28.45
TXN000956,34.14,6.15
TXN000957,237.74,42.79
TXN000958,260.78,46.94
TXN000959,57.19,10.29
TXN000960,256.12,46.1
TXN000961,273.21,49.18
TXN000962,208.62,37.55
TXN000963,193.22,34.78
TXN000964,282.15,50.79
TXN000965,61.68,11.1
TXN000966,112.06,20.17
TXN000967,64.01,11.52
TXN000968,166.99,30.06
TXN000969,194.35,34.98
TXN000970,132.54,23.86
TXN000971,242.74,43.69
TXN000972,6.41,1.15
TXN000973,266.11,47.9
TXN000974,240.95,43.37
TXN000975,420.81,75.75
TXN000976,94.92,17.09
TXN000977,281.75,50.71
TXN000978,504.31,90.78
TXN000979,232.85,41.91
TXN000980,122.31,22.02
TXN000981,119.28,21.47
TXN000982,299.2,53.86
TXN000983,254.16,45.75
TXN000984,516.74,93.01
TXN000985,164.07,29.53
TXN000986,235.07,42.31
TXN000987,355.12,63.92
TXN000988,176.1,31.7
TXN000989,61.57,11.08
TXN000990,25.84,4.65
TXN000991,249.11,44.84
TXN000992,398.76,71.78
TXN000993,318.52,57.33
TXN000994,213.91,38.5
TXN000995,356.05,64.09
TXN000996,323.83,58.29
TXN000997,141.34,25.44
