settlement_id,transaction_id,settled_amount,settlement_date
SET000186,TXN000191,10493.39,2026-08-20
SET000187,TXN000192,21970.67,2026-08-25
SET000188,TXN000193,11047.1,2026-08-28
SET000189,TXN000194,20746.31,2026-08-12
SET000190,TXN000195,11960.21,2026-08-10
SET000191,TXN000196,10844.54,2026-08-24
SET000192,TXN000197,5836.8,2026-08-14
SET000193,TXN000198,21745.6,2026-08-04
SET000194,TXN000199,2634.71,2026-08-14
SET000195,TXN000200,17348.82,2026-08-06
SET000196,TXN000201,10017.06,2026-08-21
SET000197,TXN000202,10319.35,2026-08-09
SET000198,TXN000203,9592.7,2026-08-26
SET000199,TXN000204,23318.23,2026-08-04
SET000200,TXN000205,9317.96,2026-08-03
SET000201,TXN000206,7386.3,2026-08-14
SET000202,TXN000207,13169.67,2026-08-26
SET000203,TXN000208,19740.42,2026-08-09
SET000204,TXN000209,5421.27,2026-08-17
SET000205,TXN000210,799.36,2026-08-13
SET000206,TXN000211,16600.31,2026-08-15
SET000207,TXN000212,20730.09,2026-08-07
SET000208,TXN000213,13143.48,2026-08-15
SET000209,TXN000214,13873.39,2026-08-02
SET000210,TXN000215,15863.44,2026-08-07
SET000211,TXN000216,4522.15,2026-08-12
SET000212,TXN000217,8049.64,2026-08-17
SET000213,TXN000218,6408.43,2026-08-16
SET000214,TXN000219,2909.03,2026-08-16
SET000215,TXN000220,20550.33,2026-08-19
SET000216,TXN000221,18299.87,2026-08-03
SET000217,TXN000222,5524.82,2026-08-04
SET000218,TXN000223,1073.87,2026-08-02
SET000219,TXN000224,4939.93,2026-08-03
SET000220,TXN000225,789.53,2026-08-08
SET000221,TXN000226,16537.77,2026-08-22
SET000222,TXN000227,11448.64,2026-08-11
SET000223,TXN000228,4199.99,2026-08-21
SET000224,TXN000229,6044.15,2026-08-08
SET000225,TXN000230,2739.74,2026-08-03
SET000226,TXN000231,14064.83,2026-08-14
SET000227,TXN000232,23051.6,2026-08-09
SET000228,TXN000233,14418.57,2026-08-23
SET000229,TXN000234,2588.55,2026-08-27
SET000230,TXN000235,20877.98,2026-08-23
SET000231,TXN000236,19419.97,2026-08-22
SET000232,TXN000237,8500.97,2026-08-16
SET000233,TXN000238,9123.79,2026-08-20
SET000234,TXN000239,8394.87,2026-08-17
SET000235,TXN000240,1728.79,2026-08-14
SET000236,TXN000241,21694.15,2026-08-16
SET000237,TXN000242,10779.85,2026-08-26
SET000238,TXN000243,23414.45,2026-08-11
SET000239,TXN000244,19835.31,2026-08-21
SET000240,TXN000245,11473.63,2026-08-27
SET000241,TXN000246,6610.72,2026-08-09
SET000242,TXN000247,6906.53,2026-08-17
SET000243,TXN000248,18356.87,2026-08-21
SET000244,TXN000249,16505.56,2026-08-14
SET000245,TXN000250,12232.92,2026-08-12
SET000246,TXN000251,12051.61,2026-08-15
SET000247,TXN000252,8378.77,2026-08-23
SET000248,TXN000253,13712.27,2026-08-20
SET000249,TXN000254,2187.31,2026-08-26
SET000250,TXN000255,7016.1,2026-08-27
SET000251,TXN000256,16925.69,2026-08-24
SET000252,TXN000257,11125.54,2026-08-04
SET000253,TXN000258,7222.8,2026-08-16
SET000254,TXN000259,7600.85,2026-08-22
SET000255,TXN000260,11620.09,2026-08-20
SET000256,TXN000261,10478.78,2026-08-26
SET000257,TXN000262,8177.8,2026-08-24
SET000258,TXN000265,3027.28,2026-08-19
SET000259,TXN000267,6825.8,2026-08-20
SET000260,TXN000268,14635.92,2026-08-05
SET000261,TXN000269,7279.1,2026-08-13
SET000262,TXN000270,7529.87,2026-08-26
SET000263,TXN000271,3205.02,2026-08-04
SET000264,TXN000272,13554.39,2026-08-26
SET000265,TXN000273,8820.5,2026-08-27
SET000266,TXN000274,2582.99,2026-08-02
SET000267,TXN000275,7010.55,2026-08-18
SET000268,TXN000276,2467.79,2026-08-05
SET000269,TXN000277,22914.34,2026-08-17
SET000270,TXN000278,19992.83,2026-08-16
SET000271,TXN000279,1920.01,2026-08-22
SET000272,TXN000280,3803.62,2026-08-29
SET000273,TXN000281,23378.3,2026-08-04
SET000274,TXN000282,2977.18,2026-08-26
SET000275,TXN000283,14853.6,2026-08-28
SET000276,TXN000284,5582.12,2026-08-18
SET000277,TXN000285,11065.08,2026-08-17
SET000278,TXN000286,20964.38,2026-08-16
SET000279,TXN000287,14045.83,2026-08-05
SET000280,TXN000288,23529.95,2026-08-07
SET000281,TXN000289,15329.71,2026-08-11
SET000282,TXN000290,2061.56,2026-08-10
SET000283,TXN000291,13658.42,2026-08-07
SET000284,TXN000292,10096.46,2026-08-24
SET000285,TXN000293,11584.59,2026-08-05
SET000286,TXN000294,7139.2,2026-08-11
SET000287,TXN000295,1848.05,2026-08-10
SET000288,TXN000296,19335.13,2026-08-23
SET000289,TXN000297,16206.63,2026-08-10
SET000290,TXN000298,2907.7,2026-08-09
SET000291,TXN000299,3755.81,2026-08-11
SET000292,TXN000300,1832.85,2026-08-07
SET000293,TXN000301,14668.13,2026-08-22
SET000294,TXN000303,17153.86,2026-08-10
SET000295,TXN000304,13218.87,2026-08-17
SET000296,TXN000305,1164.93,2026-08-15
SET000297,TXN000307,5656.86,2026-08-23
SET000298,TXN000308,14381.8,2026-08-02
SET000299,TXN000309,19951.72,2026-08-21
SET000300,TXN000310,18712.49,2026-08-07
SET000301,TXN000311,12709.81,2026-08-18
SET000302,TXN000312,4488.22,2026-08-21
SET000303,TXN000313,15440.77,2026-08-18
SET000304,TXN000314,11603.98,2026-08-16
SET000305,TXN000315,7911.6,2026-08-06
SET000306,TXN000316,8167.47,2026-08-26
SET000307,TXN000317,7123.09,2026-08-16
SET000308,TXN000318,983.94,2026-08-05
SET000309,TXN000319,6269.4,2026-08-07
SET000310,TXN000320,21331.29,2026-08-02
SET000311,TXN000321,21274.06,2026-08-17
SET000312,TXN000322,1419.24,2026-08-19
SET000313,TXN000323,15244.95,2026-08-19
SET000314,TXN000324,10878.94,2026-08-04
SET000315,TXN000325,6648.56,2026-08-08
SET000316,TXN000326,10760.43,2026-08-24
SET000317,TXN000327,3047.48,2026-08-23
SET000318,TXN000328,19420.17,2026-08-24
SET000319,TXN000329,7744.98,2026-08-02
SET000320,TXN000330,10133.56,2026-08-10
SET000321,TXN000331,11324.97,2026-08-06
SET000322,TXN000332,20531.23,2026-08-19
SET000323,TXN000333,12428.51,2026-08-12
SET000324,TXN000334,20342.62,2026-08-17
SET000325,TXN000335,11135.7,2026-08-07
SET000326,TXN000336,4753.5,2026-08-21
SET000327,TXN000337,18351.84,2026-08-06
SET000328,TXN000338,5166.27,2026-08-28
SET000329,TXN000339,8365.23,2026-08-28
SET000330,TXN000340,6671.57,2026-08-03
SET000331,TXN000341,17899.42,2026-08-22
SET000332,TXN000342,24553.51,2026-08-18
SET000333,TXN000343,10929.73,2026-08-18
SET000334,TXN000344,8233.26,2026-08-28
SET000335,TXN000345,9295.39,2026-08-13
SET000336,TXN000346,1903.81,2026-08-11
SET000337,TXN000347,9521.22,2026-08-28
SET000338,TXN000348,1158.41,2026-08-27
SET000339,TXN000349,17345.07,2026-08-29
SET000340,TXN000350,9474.2,2026-08-25
SET000341,TXN000351,23965.63,2026-08-18
SET000342,TXN000352,3203.59,2026-08-21
SET000343,TXN000353,21431.19,2026-08-16
SET000344,TXN000354,12963.27,2026-08-17
SET000345,TXN000355,17283.03,2026-08-15
SET000346,TXN000356,23677.08,2026-08-04
SET000347,TXN000357,19011.99,2026-08-12
SET000348,TXN000358,15214.44,2026-08-16
SET000349,TXN000361,15347.58,2026-08-28
SET000350,TXN000362,21220.27,2026-08-04
SET000351,TXN000363,1765.26,2026-08-23
SET000352,TXN000364,23646.91,2026-08-27
SET000353,TXN000365,9623.17,2026-08-05
SET000354,TXN000366,17289.73,2026-08-06
SET000355,TXN000367,4136.66,2026-08-12
SET000356,TXN000368,1212.08,2026-08-28
SET000357,TXN000369,7278.25,2026-08-15
SET000358,TXN000370,3632.95,2026-08-19
SET000359,TXN000371,13944.9,2026-08-28
SET000360,TXN000372,4240.37,2026-08-05
SET000361,TXN000373,21446.56,2026-08-23
SET000362,TXN000374,5950.75,2026-08-20
SET000363,TXN000375,5728.86,2026-08-24
SET000364,TXN000376,11225.65,2026-08-23
SET000365,TXN000377,21962.26,2026-08-16
SET000366,TXN000378,16480.95,2026-08-09
SET000367,TXN000379,10913.01,2026-08-13
SET000368,TXN000380,7455.7,2026-08-15
SET000369,TXN000381,11140.02,2026-08-12
SET000370,TXN000382,24412.52,2026-08-19
SET000371,TXN000383,5845.99,2026-08-22
SET000372,TXN000384,14097.09,2026-08-25
SET000373,TXN000385,634.22,2026-08-23
SET000374,TXN000386,6779.67,2026-08-21
SET000375,TXN000387,22157.1,2026-08-26
SET000376,TXN000388,20314.62,2026-08-12
SET000377,TXN000389,14846.43,2026-08-13
SET000378,TXN000390,5892.8,2026-08-23
SET000379,TXN000391,16766.51,2026-08-25
SET000380,TXN000392,16727.14,2026-08-06
SET000381,TXN000393,2467.48,2026-08-23
SET000382,TXN000394,1064.31,2026-08-29
SET000383,TXN000395,912.35,2026-08-15
SET000384,TXN000396,2277.2,2026-08-12
SET000385,TXN000397,3298.84,2026-08-08
SET000386,TXN000398,3332.63,2026-08-21
SET000387,TXN000399,13134.61,2026-08-10
SET000388,TXN000400,6331.59,2026-08-18
SET000389,TXN000401,18211.5,2026-08-13
SET000390,TXN000402,11432.53,2026-08-04
SET000391,TXN000403,18507.32,2026-08-11
SET000392,TXN000404,17911.03,2026-08-16
SET000393,TXN000405,956.51,2026-08-28
SET000394,TXN000406,217.04,2026-08-19
SET000395,TXN000407,11250.9,2026-08-24
SET000396,TXN000408,6441.26,2026-08-14
SET000397,TXN000409,22930.99,2026-08-06
SET000398,TXN000410,5797.4,2026-08-04
SET000399,TXN000411,21552.86,2026-08-21
SET000400,TXN000412,22561.71,2026-08-10
SET000401,TXN000413,1628.52,2026-08-18
SET000402,TXN000414,15837.43,2026-08-07
SET000403,TXN000415,1194.22,2026-08-03
SET000404,TXN000416,24306.55,2026-08-06
SET000405,TXN000417,5862.39,2026-08-20
SET000406,TXN000418,9536.51,2026-08-15
SET000407,TXN000419,23266.44,2026-08-25
SET000408,TXN000420,10278.84,2026-08-26
SET000409,TXN000421,21680.71,2026-08-24
SET000410,TXN000422,17427.15,2026-08-23
SET000411,TXN000423,22817.81,2026-08-10
SET000412,TXN000424,16873.75,2026-08-08
SET000413,TXN000425,10923.56,2026-08-09
SET000414,TXN000427,13383.18,2026-08-23
SET000415,TXN000429,23699.63,2026-08-17
SET000416,TXN000430,16213.36,2026-08-22
SET000417,TXN000431,14709.51,2026-08-02
SET000418,TXN000432,19257.54,2026-08-09
SET000419,TXN000433,19354.52,2026-08-10
SET000420,TXN000434,20189.61,2026-08-20
SET000421,TXN000435,13962.35,2026-08-09
SET000422,TXN000436,18451.49,2026-08-28
SET000423,TXN000437,79.34,2026-08-06
SET000424,TXN000438,13314.9,2026-08-29
SET000425,TXN000439,2781.54,2026-08-04
SET000426,TXN000440,463.49,2026-08-28
SET000427,TXN000441,14549.23,2026-08-02
SET000428,TXN000442,6596.01,2026-08-06
SET000429,TXN000443,13040.21,2026-08-25
SET000430,TXN000444,11685.55,2026-08-28
SET000431,TXN000445,12610.46,2026-08-05
SET000432,TXN000446,12450.12,2026-08-22
SET000433,TXN000447,17880.59,2026-08-25
SET000434,TXN000448,7477.9,2026-08-23
SET000435,TXN000449,1591.46,2026-08-17
SET000436,TXN000450,10454.21,2026-08-07
SET000437,TXN000451,17538.85,2026-08-16
SET000438,TXN000452,22128.87,2026-08-12
SET000439,TXN000453,3743.96,2026-08-07
SET000440,TXN000454,15291.06,2026-08-21
SET000441,TXN000455,17515.26,2026-08-14
SET000442,TXN000456,13049.28,2026-08-18
SET000443,TXN000457,14961.13,2026-08-07
SET000444,TXN000458,20905.03,2026-08-24
SET000445,TXN000459,17620.13,2026-08-09
SET000446,TXN000460,11188.6,2026-08-09
SET000447,TXN000461,8430.5,2026-08-17
SET000448,TXN000462,4836.52,2026-08-05
SET000449,TXN000463,10565.87,2026-08-24
SET000450,TXN000464,9209.55,2026-08-06
SET000451,TXN000465,1732.13,2026-08-04
SET000452,TXN000466,360.82,2026-08-25
SET000453,TXN000467,19821.92,2026-08-20
SET000454,TXN000468,14369.1,2026-08-20
SET000455,TXN000469,8164.2,2026-08-06
SET000456,TXN000470,8670.68,2026-08-23
SET000457,TXN000471,21185.23,2026-08-26
SET000458,TXN000472,23639.9,2026-08-23
SET000459,TXN000473,8667.86,2026-08-20
SET000460,TXN000474,5240.5,2026-08-23
SET000461,TXN000475,1191.07,2026-08-07
SET000462,TXN000476,20725.9,2026-08-14
SET000463,TXN000477,18819.1,2026-08-22
SET000464,TXN000478,19670.83,2026-08-20
SET000465,TXN000479,14946.18,2026-08-23
SET000466,TXN000481,804.62,2026-08-12
SET000467,TXN000482,22495.13,2026-08-15
SET000468,TXN000483,4504.48,2026-08-08
SET000469,TXN000484,16137.9,2026-08-05
SET000470,TXN000485,18255.17,2026-08-04
SET000471,TXN000486,18383.79,2026-08-08
SET000472,TXN000487,10268.44,2026-08-12
SET000473,TXN000488,9102.7,2026-08-25
SET000474,TXN000489,18899.62,2026-08-20
SET000475,TXN000490,2173.92,2026-08-05
SET000476,TXN000491,3922.3,2026-08-22
SET000477,TXN000492,16483.85,2026-08-12
SET000478,TXN000493,16155.09,2026-08-18
SET000479,TXN000494,10802.37,2026-08-11
SET000480,TXN000495,18523.47,2026-08-07
SET000481,TXN000496,10671.57,2026-08-12
SET000482,TXN000497,4369.68,2026-08-19
SET000483,TXN000498,16410.45,2026-08-05
SET000484,TXN000499,4485.45,2026-08-22
SET000485,TXN000500,287.09,2026-08-12
SET000486,TXN000501,18719.28,2026-08-27
SET000487,TXN000502,7142.83,2026-08-05
SET000488,TXN000503,12309.41,2026-08-17
SET000489,TXN000504,3271.54,2026-08-21
SET000490,TXN000505,12226.66,2026-08-24
SET000491,TXN000506,1845.6,2026-08-26
SET000492,TXN000507,10769.29,2026-08-16
SET000493,TXN000508,21064.14,2026-08-22
SET000494,TXN000509,12168.11,2026-08-26
SET000495,TXN000510,10277.65,2026-08-06
SET000496,TXN000511,607.62,2026-08-14
SET000497,TXN000512,19669.55,2026-08-22
SET000498,TXN000513,20343.03,2026-08-14
SET000499,TXN000515,10134.21,2026-08-16
SET000500,TXN000516,2020.04,2026-08-12
SET000501,TXN000517,5516.98,2026-08-27
SET000502,TXN000518,1949.39,2026-08-22
SET000503,TXN000519,12722.92,2026-08-09
SET000504,TXN000520,4048.88,2026-08-24
SET000505,TXN000521,5866.39,2026-08-08
SET000506,TXN000522,4883.08,2026-08-21
SET000507,TXN000523,18621.41,2026-08-22
SET000508,TXN000524,2846.39,2026-08-26
SET000509,TXN000525,12111.67,2026-08-26
SET000510,TXN000526,18770.27,2026-08-16
SET000511,TXN000527,22457.93,2026-08-21
SET000512,TXN000528,15569.3,2026-08-23
SET000513,TXN000529,21178.42,2026-08-23
SET000514,TXN000530,3772.87,2026-08-04
SET000515,TXN000531,10888.83,2026-08-12
SET000516,TXN000532,14505.73,2026-08-13
SET000517,TXN000533,1896.04,2026-08-18
SET000518,TXN000534,1020.96,2026-08-15
SET000519,TXN000535,1952.86,2026-08-04
SET000520,TXN000536,14698.5,2026-08-15
SET000521,TXN000537,14350.5,2026-08-28
SET000522,TXN000538,11002.25,2026-08-28
SET000523,TXN000539,15915.08,2026-08-14
SET000524,TXN000540,11722.13,2026-08-06
SET000525,TXN000541,11085.45,2026-08-28
SET000526,TXN000542,23984.58,2026-08-06
SET000527,TXN000543,15971.59,2026-08-04
SET000528,TXN000544,17254.44,2026-08-18
SET000529,TXN000545,12755.67,2026-08-08
SET000530,TXN000546,9123.25,2026-08-12
SET000531,TXN000547,10041.35,2026-08-13
SET000532,TXN000548,14810.45,2026-08-29
SET000533,TXN000550,1599.24,2026-08-23
SET000534,TXN000551,7023.12,2026-08-27
SET000535,TXN000552,23662.81,2026-08-21
SET000536,TXN000553,8215.65,2026-08-21
SET000537,TXN000554,3566.29,2026-08-15
SET000538,TXN000555,23618.27,2026-08-25
SET000539,TXN000556,8405.0,2026-08-21
SET000540,TXN000557,7637.63,2026-08-14
SET000541,TXN000558,19258.35,2026-08-08
SET000542,TXN000559,17297.93,2026-08-25
SET000543,TXN000560,2357.82,2026-08-24
SET000544,TXN000561,12512.58,2026-08-04
SET000545,TXN000562,7563.35,2026-08-10
SET000546,TXN000563,23272.92,2026-08-18
SET000547,TXN000564,5664.1,2026-08-08
SET000548,TXN000565,1997.27,2026-08-27
SET000549,TXN000566,329.46,2026-08-21
SET000550,TXN000567,1020.2,2026-08-14
SET000551,TXN000568,3315.84,2026-08-16
SET000552,TXN000569,4069.55,2026-08-24
SET000553,TXN000570,19873.99,2026-08-08
SET000554,TXN000571,1162.38,2026-08-15
SET000555,TXN000572,17788.12,2026-08-16
SET000556,TXN000573,7020.25,2026-08-26
SET000557,TXN000574,5770.64,2026-08-09
SET000558,TXN000575,23704.95,2026-08-29
SET000559,TXN000576,21997.52,2026-08-08
SET000560,TXN000577,16529.04,2026-08-20
SET000561,TXN000578,11410.71,2026-08-11
SET000562,TXN000579,8843.54,2026-08-15
SET000563,TXN000580,20056.75,2026-08-28
SET000564,TXN000582,3497.83,2026-08-14
SET000565,TXN000583,22659.89,2026-08-25
SET000566,TXN000584,20837.3,2026-08-11
SET000567,TXN000585,12444.48,2026-08-12
SET000568,TXN000586,22184.63,2026-08-08
SET000569,TXN000587,2347.6,2026-08-11
SET000570,TXN000588,21715.55,2026-08-03
SET000571,TXN000589,1385.93,2026-08-18
SET000572,TXN000590,5811.64,2026-08-06
SET000573,TXN000591,5608.33,2026-08-12
SET000574,TXN000592,20377.06,2026-08-24
SET000575,TXN000593,19336.78,2026-08-07
SET000576,TXN000594,7140.62,2026-08-18
SET000577,TXN000595,18746.88,2026-08-19
SET000578,TXN000596,15235.9,2026-08-06
SET000579,TXN000597,6313.49,2026-08-07
SET000580,TXN000598,23031.65,2026-08-21
SET000581,TXN000599,6173.19,2026-08-27
SET000582,TXN000600,5840.77,2026-08-06
SET000583,TXN000601,5956.85,2026-08-24
SET000584,TXN000602,11216.11,2026-08-07
SET000585,TXN000603,14672.18,2026-08-04
SET000586,TXN000604,12675.87,2026-08-11
SET000587,TXN000605,7163.23,2026-08-02
SET000588,TXN000606,8685.22,2026-08-21
SET000589,TXN000607,4672.01,2026-08-24
SET000590,TXN000608,11230.34,2026-08-14
SET000591,TXN000609,23343.49,2026-08-19
SET000592,TXN000610,19257.11,2026-08-20
SET000593,TXN000611,464.1,2026-08-19
SET000594,TXN000612,15640.08,2026-08-15
SET000595,TXN000613,18425.9,2026-08-15
SET000596,TXN000614,8490.15,2026-08-27
SET000597,TXN000615,15396.77,2026-08-27
SET000598,TXN000616,4848.25,2026-08-12
SET000599,TXN000617,1184.7,2026-08-21
SET000600,TXN000618,19935.39,2026-08-08
SET000601,TXN000619,24054.72,2026-08-19
SET000602,TXN000620,4539.14,2026-08-07
SET000603,TXN000621,17601.49,2026-08-16
SET000604,TXN000622,7191.08,2026-08-05
SET000605,TXN000623,21671.93,2026-08-14
SET000606,TXN000624,12619.09,2026-08-21
SET000607,TXN000625,3464.34,2026-08-28
